Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1966,1,Sat,GB,24,UNK,3,September 10,H,292,213,1,3
1966,1,Sun,ATL,14,UNK,19,September 11,A,237,421,2,2
1966,1,Sun,DET,14,CHI,3,September 11,H,208,256,3,3
1966,1,Sun,WAS,14,CLE,38,September 11,A,315,307,6,3
1966,1,Sun,UNK,16,PHI,13,September 11,H,278,254,1,0
1966,1,Sun,SF,20,MIN,20,September 11,T,307,298,1,1
1966,1,Sun,PIT,34,NYG,34,September 11,T,404,279,3,5
1966,2,Fri,UNK,31,CHI,17,September 16,H,294,239,4,3
1966,1,Sun,DAL,52,NYG,7,September 18,H,518,257,1,4
1966,2,Sun,PIT,17,DET,3,September 18,H,256,158,1,4
1966,2,Sun,UNK,23,WAS,7,September 18,H,382,217,2,3
1966,2,Sun,MIN,23,UNK,38,September 18,A,337,346,3,2
1966,2,Sun,CLE,20,GB,21,September 18,A,266,356,1,2
1966,2,Sun,PHI,23,ATL,10,September 18,H,340,298,2,3
1966,2,Sun,DAL,28,MIN,17,September 25,H,314,389,0,1
1966,3,Sun,PIT,27,WAS,33,September 25,A,278,320,6,2
1966,3,Sun,PHI,35,NYG,17,September 25,H,271,386,0,1
1966,3,Sun,GB,24,UNK,13,September 25,H,327,173,5,2
1966,3,Sun,UNK,36,SF,14,September 25,H,379,250,2,1
1966,3,Sun,CLE,28,UNK,34,September 25,A,373,313,1,5
1966,3,Sun,DET,28,ATL,10,September 25,H,344,259,3,3
1966,4,Fri,UNK,34,SF,3,September 30,H,356,251,1,5
1966,3,Sun,MIN,10,CHI,13,October 2,A,284,283,3,2
1966,4,Sun,WAS,24,PIT,10,October 2,H,333,249,0,4
1966,4,Sun,GB,23,DET,14,October 2,H,251,349,0,5
1966,4,Sun,PHI,10,UNK,41,October 2,A,230,147,5,1
1966,4,Sun,NYG,7,CLE,28,October 2,A,274,418,6,1
1966,4,Sun,ATL,14,DAL,47,October 2,A,276,363,5,2
1966,5,Sat,CLE,41,PIT,10,October 8,H,467,204,2,6
1966,4,Sun,DAL,56,PHI,7,October 9,H,652,217,0,1
1966,4,Sun,CHI,27,UNK,17,October 9,H,315,364,1,4
1966,5,Sun,SF,21,GB,20,October 9,H,248,368,1,2
1966,5,Sun,DET,7,UNK,14,October 9,A,283,369,6,3
1966,5,Sun,UNK,24,NYG,19,October 9,H,268,271,2,2
1966,5,Sun,WAS,33,ATL,20,October 9,H,432,268,0,2
1966,5,Sun,UNK,45,DET,14,October 16,H,420,293,2,4
1966,5,Sun,CHI,0,GB,17,October 16,A,94,180,4,2
1966,5,Sun,MIN,35,UNK,7,October 16,H,378,230,1,3
1966,6,Sun,ATL,7,SF,44,October 16,A,215,504,4,1
1966,6,Sun,PIT,14,PHI,31,October 16,A,178,281,3,3
1966,6,Sun,NYG,13,WAS,10,October 16,H,325,188,1,2
1966,6,Sun,UNK,10,DAL,10,October 16,T,175,326,0,4
1966,6,Sun,UNK,20,MIN,17,October 23,H,347,317,2,1
1966,6,Sun,CLE,30,DAL,21,October 23,H,264,413,0,4
1966,6,Sun,CHI,17,UNK,10,October 23,H,287,203,2,2
1966,7,Sun,NYG,3,PHI,31,October 23,A,228,316,5,3
1966,7,Sun,SF,27,DET,24,October 23,H,359,314,4,2
1966,7,Sun,WAS,26,UNK,20,October 23,H,291,251,1,5
1966,7,Sun,GB,56,ATL,3,October 23,H,357,216,0,4
1966,7,Sun,UNK,3,UNK,17,October 30,A,340,322,6,3
1966,7,Sun,DAL,52,PIT,21,October 30,H,425,119,3,4
1966,7,Sun,MIN,28,SF,3,October 30,H,559,154,2,3
1966,8,Sun,PHI,13,WAS,27,October 30,A,257,260,2,3
1966,8,Sun,DET,7,GB,31,October 30,A,317,344,5,2
1966,8,Sun,ATL,17,CLE,49,October 30,A,321,508,3,1
1966,7,Mon,UNK,24,CHI,17,October 31,H,166,282,3,4
1966,8,Sun,CHI,10,DET,10,November 6,T,282,255,0,1
1966,8,Sun,PIT,16,CLE,6,November 6,H,267,307,0,6
1966,8,Sun,UNK,37,WAS,10,November 6,H,520,272,2,4
1966,8,Sun,PHI,24,DAL,23,November 6,H,80,240,3,2
1966,9,Sun,SF,21,UNK,13,November 6,H,358,142,2,1
1966,9,Sun,GB,17,MIN,20,November 6,A,292,290,1,0
1966,9,Sun,NYG,17,UNK,20,November 6,A,210,264,2,2
1966,9,Sun,CLE,27,PHI,7,November 13,H,345,290,0,4
1966,9,Sun,WAS,30,DAL,31,November 13,A,341,515,0,3
1966,9,Sun,CHI,30,SF,30,November 13,T,220,423,1,3
1966,9,Sun,UNK,55,NYG,14,November 13,H,572,103,1,3
1966,9,Sun,ATL,7,UNK,19,November 13,A,241,200,7,3
1966,10,Sun,MIN,31,DET,32,November 13,A,232,268,5,4
1966,10,Sun,PIT,30,UNK,9,November 13,H,150,251,3,4
1966,10,Sun,UNK,21,MIN,6,November 20,H,228,186,1,4
1966,10,Sun,PIT,7,DAL,20,November 20,A,163,258,3,1
1966,10,Sun,DET,20,UNK,14,November 20,H,281,289,4,6
1966,10,Sun,CLE,14,WAS,3,November 20,H,271,327,2,4
1966,10,Sun,GB,13,CHI,6,November 20,H,296,160,2,4
1966,10,Sun,NYG,16,ATL,27,November 20,A,303,289,4,1
1966,11,Sun,SF,34,PHI,35,November 20,A,404,289,5,5
1966,11,Thu,DAL,26,CLE,14,November 24,H,304,321,0,1
1966,12,Thu,DET,14,SF,41,November 24,A,196,487,2,3
1966,11,Sun,WAS,72,NYG,41,November 27,H,341,389,2,6
1966,11,Sun,MIN,16,GB,28,November 27,A,322,304,2,1
1966,11,Sun,UNK,6,PIT,3,November 27,H,228,78,1,2
1966,11,Sun,CHI,23,ATL,6,November 27,H,476,167,4,3
1966,11,Sun,UNK,7,UNK,23,November 27,A,140,310,2,1
1966,12,Sun,MIN,13,ATL,20,December 4,A,270,187,6,0
1966,12,Sun,PHI,27,PIT,23,December 4,H,304,250,2,2
1966,12,Sun,GB,20,SF,7,December 4,H,311,321,1,4
1966,12,Sun,DAL,31,UNK,17,December 4,H,190,295,1,5
1966,12,Sun,CLE,49,NYG,40,December 4,H,447,335,3,1
1966,12,Sun,UNK,21,CHI,16,December 4,H,260,296,2,3
1966,13,Sun,UNK,23,DET,3,December 4,H,293,305,0,4
1966,13,Sat,UNK,10,GB,14,December 10,A,283,242,5,1
1966,13,Sun,NYG,28,PIT,47,December 11,A,310,392,2,1
1966,13,Sun,DAL,31,WAS,34,December 11,A,370,399,1,2
1966,13,Sun,PHI,33,CLE,21,December 11,H,320,349,5,3
1966,13,Sun,SF,41,CHI,14,December 11,H,411,129,2,4
1966,13,Sun,ATL,16,UNK,10,December 11,H,192,296,2,3
1966,14,Sun,DET,16,MIN,28,December 11,A,282,317,2,3
1966,14,Sat,UNK,10,CLE,38,December 17,A,227,428,3,1
1966,14,Sun,WAS,28,PHI,37,December 18,A,355,310,6,4
1966,14,Sun,UNK,23,GB,27,December 18,A,351,355,2,4
1966,14,Sun,NYG,7,DAL,17,December 18,A,262,257,2,2
1966,14,Sun,SF,14,UNK,30,December 18,A,305,403,3,1
1966,14,Sun,CHI,41,MIN,28,December 18,H,380,460,0,4
1966,14,Sun,ATL,33,PIT,57,December 18,A,370,458,5,1
1966,ConfChamp,,DAL,27,GB,34,January 1,A,418,367,2,1
1966,SuperBowl,,GB,35,KC,10,January 15,H,358,239,1,1
