Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1970,1,Fri,UNK,34,UNK,13,September 18,H,342,327,1,4
1970,1,Sat,NYG,16,CHI,24,September 19,A,311,256,3,3
1970,1,Sun,NO,3,ATL,14,September 20,A,235,265,2,2
1970,1,Sun,SF,26,WAS,17,September 20,H,324,209,1,2
1970,1,Sun,PIT,7,UNK,19,September 20,A,214,305,1,0
1970,1,Sun,UNK,27,MIA,14,September 20,H,301,214,1,3
1970,1,Sun,MIN,27,KC,10,September 20,H,220,218,3,4
1970,1,Sun,GB,0,DET,40,September 20,A,114,398,3,1
1970,1,Sun,PHI,7,DAL,17,September 20,A,225,297,4,3
1970,1,Sun,SD,14,UNK,16,September 20,A,288,303,1,3
1970,1,Sun,CIN,31,OAK,21,September 20,H,364,291,1,2
1970,1,Sun,BUF,10,DEN,25,September 20,A,149,282,4,3
1970,1,Mon,CLE,31,NYJ,21,September 21,H,221,454,0,4
1970,2,Sun,DEN,16,PIT,13,September 27,H,226,245,4,3
1970,2,Sun,UNK,10,MIA,20,September 27,A,307,284,3,1
1970,2,Sun,MIN,26,NO,0,September 27,H,291,131,2,4
1970,2,Sun,UNK,21,NYJ,31,September 27,A,209,283,3,2
1970,2,Sun,SD,27,OAK,27,September 27,T,344,405,3,0
1970,2,Sun,DAL,28,NYG,10,September 27,H,360,238,2,3
1970,2,Sun,UNK,27,WAS,17,September 27,H,297,254,3,3
1970,2,Sun,SF,34,CLE,31,September 27,H,435,448,0,4
1970,2,Sun,DET,38,CIN,3,September 27,H,285,140,0,4
1970,2,Sun,CHI,20,PHI,16,September 27,H,181,323,1,1
1970,2,Sun,BUF,0,UNK,19,September 27,A,177,364,4,3
1970,2,Sun,GB,27,ATL,24,September 27,H,344,384,3,5
1970,2,Mon,UNK,24,KC,44,September 28,A,309,295,7,4
1970,3,Sat,CLE,15,PIT,7,October 3,H,199,263,2,4
1970,3,Sat,MIA,20,OAK,13,October 3,H,279,334,1,4
1970,3,Sun,GB,13,MIN,10,October 4,H,173,216,2,3
1970,3,Sun,NO,14,NYG,10,October 4,H,183,361,3,3
1970,3,Sun,PHI,21,WAS,33,October 4,A,237,316,4,1
1970,3,Sun,UNK,37,SD,10,October 4,H,277,147,1,4
1970,3,Sun,DEN,26,KC,13,October 4,H,240,121,1,5
1970,3,Sun,UNK,20,DAL,7,October 4,H,309,269,2,2
1970,3,Sun,UNK,6,UNK,14,October 4,A,240,236,1,1
1970,3,Sun,CIN,13,UNK,20,October 4,A,248,239,2,4
1970,3,Sun,BUF,34,NYJ,31,October 4,H,401,337,5,0
1970,3,Sun,ATL,21,SF,20,October 4,H,356,326,2,2
1970,3,Mon,DET,28,CHI,14,October 5,H,350,177,1,3
1970,4,Sat,NYJ,6,MIA,20,October 10,A,263,312,3,1
1970,4,Sun,WAS,31,DET,10,October 11,H,352,251,1,1
1970,4,Sun,KC,23,UNK,10,October 11,H,346,105,5,7
1970,4,Sun,NYG,30,PHI,23,October 11,H,330,367,2,4
1970,4,Sun,UNK,6,SF,20,October 11,A,205,243,4,2
1970,4,Sun,OAK,35,DEN,23,October 11,H,522,285,1,1
1970,4,Sun,UNK,24,NO,17,October 11,H,432,342,3,2
1970,4,Sun,DAL,13,ATL,0,October 11,H,257,128,3,3
1970,4,Sun,PIT,23,BUF,10,October 11,H,209,285,0,5
1970,4,Sun,CHI,0,MIN,24,October 11,A,137,342,6,3
1970,4,Sun,CLE,30,CIN,27,October 11,H,346,236,3,1
1970,4,Sun,UNK,20,UNK,24,October 11,A,365,301,1,2
1970,4,Mon,SD,20,GB,22,October 12,A,257,341,5,2
1970,5,Sun,UNK,3,PIT,7,October 18,A,259,241,4,4
1970,5,Sun,UNK,0,NYG,16,October 18,A,155,224,3,0
1970,5,Sun,SF,20,NO,20,October 18,T,337,283,4,4
1970,5,Sun,GB,21,UNK,31,October 18,A,319,277,3,0
1970,5,Sun,MIN,54,DAL,13,October 18,H,258,286,0,4
1970,5,Sun,PHI,20,UNK,35,October 18,A,278,299,3,2
1970,5,Sun,NYJ,22,UNK,29,October 18,A,398,254,6,4
1970,5,Sun,CLE,24,DET,41,October 18,A,318,315,6,2
1970,5,Sun,CIN,19,KC,27,October 18,A,256,274,1,0
1970,5,Sun,CHI,7,SD,20,October 18,A,217,357,2,0
1970,5,Sun,BUF,14,MIA,33,October 18,A,390,301,6,1
1970,5,Sun,DEN,24,ATL,10,October 18,H,223,216,1,5
1970,5,Mon,OAK,34,WAS,20,October 19,H,458,301,1,0
1970,6,Sun,OAK,31,PIT,14,October 25,H,346,266,2,5
1970,6,Sun,SD,31,UNK,31,October 25,T,233,448,2,3
1970,6,Sun,GB,30,PHI,17,October 25,H,241,311,3,5
1970,6,Sun,SF,19,DEN,14,October 25,H,362,283,0,3
1970,6,Sun,KC,16,DAL,27,October 25,A,236,327,3,1
1970,6,Sun,NYG,35,UNK,17,October 25,H,371,329,1,2
1970,6,Sun,UNK,27,UNK,3,October 25,H,272,170,1,4
1970,6,Sun,ATL,32,NO,14,October 25,H,274,272,2,3
1970,6,Sun,NYJ,6,BUF,10,October 25,A,119,193,2,2
1970,6,Sun,CHI,10,DET,16,October 25,A,310,187,4,1
1970,6,Sun,WAS,20,CIN,0,October 25,H,324,221,1,4
1970,6,Sun,MIA,0,CLE,28,October 25,A,165,339,3,3
1970,6,Mon,MIN,13,UNK,3,October 26,H,172,100,2,5
1970,7,Sun,NYJ,10,NYG,22,November 1,A,237,240,4,0
1970,7,Sun,NO,17,UNK,30,November 1,A,212,408,3,5
1970,7,Sun,KC,17,OAK,17,November 1,T,321,278,2,0
1970,7,Sun,SF,26,GB,10,November 1,H,258,308,3,6
1970,7,Sun,DET,17,MIN,30,November 1,A,254,387,3,4
1970,7,Sun,DEN,3,WAS,19,November 1,A,246,199,5,2
1970,7,Sun,DAL,21,PHI,17,November 1,H,278,396,1,4
1970,7,Sun,UNK,44,UNK,0,November 1,H,454,160,0,3
1970,7,Sun,UNK,35,MIA,0,November 1,H,239,383,1,4
1970,7,Sun,CLE,10,SD,27,November 1,A,309,321,4,0
1970,7,Sun,UNK,10,BUF,45,November 1,A,251,364,5,2
1970,7,Sun,ATL,14,CHI,23,November 1,A,278,154,3,2
1970,7,Mon,PIT,21,CIN,10,November 2,H,281,282,1,3
1970,8,Sun,NO,19,DET,17,November 8,H,272,278,0,6
1970,8,Sun,KC,24,UNK,9,November 8,H,221,326,0,3
1970,8,Sun,PHI,24,MIA,17,November 8,H,291,245,2,4
1970,8,Sun,WAS,10,MIN,19,November 8,A,334,163,1,0
1970,8,Sun,PIT,21,NYJ,17,November 8,H,277,246,2,3
1970,8,Sun,SD,24,DEN,21,November 8,H,235,341,0,1
1970,8,Sun,NYG,23,DAL,20,November 8,H,338,263,3,0
1970,8,Sun,UNK,31,UNK,0,November 8,H,283,195,1,4
1970,8,Sun,OAK,23,CLE,20,November 8,H,294,240,2,3
1970,8,Sun,CHI,16,SF,37,November 8,A,178,387,2,1
1970,8,Sun,BUF,14,CIN,43,November 8,A,377,320,6,0
1970,8,Sun,UNK,10,ATL,10,November 8,T,364,194,3,1
1970,8,Mon,GB,10,UNK,13,November 9,A,218,290,4,2
1970,9,Sun,MIA,21,NO,10,November 15,H,406,319,4,3
1970,9,Sun,UNK,14,SD,16,November 15,A,179,267,2,0
1970,9,Sun,NYG,35,WAS,33,November 15,H,485,411,2,1
1970,9,Sun,UNK,20,NYJ,31,November 15,A,325,386,4,2
1970,9,Sun,UNK,20,SF,30,November 15,A,268,376,0,1
1970,9,Sun,PIT,14,KC,31,November 15,A,202,424,6,3
1970,9,Sun,MIN,24,DET,20,November 15,H,289,185,2,2
1970,9,Sun,DEN,19,OAK,24,November 15,A,312,325,3,2
1970,9,Sun,CIN,14,CLE,10,November 15,H,333,296,3,1
1970,9,Sun,GB,20,CHI,19,November 15,H,319,282,1,0
1970,9,Sun,UNK,17,BUF,17,November 15,T,345,271,1,2
1970,9,Sun,PHI,13,ATL,13,November 15,T,230,236,0,2
1970,9,Mon,DAL,0,UNK,38,November 16,A,243,392,6,1
1970,10,Sun,NO,6,DEN,31,November 22,A,263,452,3,1
1970,10,Sun,DET,28,SF,7,November 22,H,298,190,0,4
1970,10,Sun,MIN,10,GB,3,November 22,H,202,282,0,2
