Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
2001,1,Sun,CIN,23,NE,17,September 9,H,353,292,1,0
2001,1,Sun,MIN,13,CAR,24,September 9,A,343,291,5,2
2001,1,Sun,CLE,6,SEA,9,September 9,A,239,251,1,2
2001,1,Sun,NYJ,24,IND,45,September 9,A,330,376,2,3
2001,1,Sun,DAL,6,TB,10,September 9,A,127,263,3,2
2001,1,Sun,GB,28,DET,6,September 9,H,424,288,1,3
2001,1,Sun,JAC,21,PIT,3,September 9,H,299,281,0,4
2001,1,Sun,KC,24,OAK,27,September 9,A,254,427,3,3
2001,1,Sun,TEN,23,MIA,31,September 9,A,315,307,3,2
2001,1,Sun,PHI,17,STL,20,September 9,A,334,364,3,2
2001,1,Sun,BUF,6,NO,24,September 9,A,251,301,3,0
2001,1,Sun,SF,16,ATL,13,September 9,H,429,241,1,0
2001,1,Sun,SD,30,WAS,3,September 9,H,255,161,4,4
2001,1,Sun,BAL,17,CHI,6,September 9,H,316,189,2,2
2001,1,Mon,DEN,31,NYG,20,September 10,H,473,308,0,0
2001,2,Sun,ARI,17,DEN,38,September 23,A,308,381,3,0
2001,2,Sun,IND,42,BUF,26,September 23,H,555,374,3,1
2001,2,Sun,SF,26,STL,30,September 23,A,232,425,1,3
2001,2,Sun,SEA,3,PHI,27,September 23,A,147,344,1,1
2001,2,Sun,NE,3,NYJ,10,September 23,A,308,238,4,0
2001,2,Sun,MIA,18,OAK,15,September 23,H,359,216,2,0
2001,2,Sun,KC,3,NYG,13,September 23,A,266,299,1,3
2001,2,Sun,CLE,24,DET,14,September 23,H,257,271,2,7
2001,2,Sun,JAC,13,TEN,6,September 23,H,329,264,2,0
2001,2,Sun,CHI,17,MIN,10,September 23,H,284,319,1,2
2001,2,Sun,CIN,21,BAL,10,September 23,H,203,382,1,6
2001,2,Sun,ATL,24,CAR,16,September 23,H,377,359,2,1
2001,2,Sun,DAL,21,SD,32,September 23,A,289,475,5,1
2001,2,Mon,GB,37,WAS,0,September 24,H,386,137,1,3
2001,3,Sun,NYG,21,NO,13,September 30,H,253,330,1,1
2001,3,Sun,CAR,7,GB,28,September 30,A,169,383,3,2
2001,3,Sun,SD,28,CIN,14,September 30,H,245,237,0,4
2001,3,Sun,JAC,14,CLE,23,September 30,A,259,321,2,3
2001,3,Sun,NE,44,IND,13,September 30,H,336,322,0,4
2001,3,Sun,PHI,40,DAL,18,September 30,H,276,242,3,5
2001,3,Sun,DEN,13,BAL,20,September 30,A,228,333,3,1
2001,3,Sun,WAS,13,KC,45,September 30,A,218,546,1,0
2001,3,Sun,STL,42,MIA,10,September 30,H,441,253,0,4
2001,3,Sun,MIN,20,TB,16,September 30,H,402,331,2,1
2001,3,Sun,OAK,38,SEA,14,September 30,H,344,348,1,3
2001,3,Sun,BUF,3,PIT,20,September 30,A,172,270,2,0
2001,3,Sun,ARI,14,ATL,34,September 30,A,335,379,4,0
2001,3,Mon,NYJ,17,SF,19,October 1,A,268,359,0,1
2001,4,Sun,BAL,26,TEN,7,October 7,H,460,185,0,2
2001,4,Sun,PHI,20,ARI,21,October 7,A,440,329,2,1
2001,4,Sun,SF,24,CAR,14,October 7,H,353,336,1,3
2001,4,Sun,BUF,36,NYJ,42,October 7,A,473,335,5,0
2001,4,Sun,ATL,3,CHI,31,October 7,A,335,300,5,2
2001,4,Sun,DEN,20,KC,6,October 7,H,300,297,1,4
2001,4,Sun,CLE,20,SD,16,October 7,H,278,269,1,0
2001,4,Sun,OAK,28,DAL,21,October 7,H,308,231,2,0
2001,4,Sun,SEA,24,JAC,15,October 7,H,395,256,2,2
2001,4,Sun,TB,14,GB,10,October 7,H,253,322,1,3
2001,4,Sun,MIA,30,NE,10,October 7,H,296,149,1,3
2001,4,Sun,NO,28,MIN,15,October 7,H,370,340,1,3
2001,4,Sun,NYG,23,WAS,9,October 7,H,309,181,4,5
2001,4,Sun,PIT,16,CIN,7,October 7,H,413,214,2,1
2001,4,Mon,DET,0,STL,35,October 8,A,334,378,3,1
2001,5,Sun,MIN,31,DET,26,October 14,H,343,457,1,1
2001,5,Sun,TEN,31,TB,28,October 14,H,365,306,1,1
2001,5,Sun,IND,18,OAK,23,October 14,A,352,317,2,1
2001,5,Sun,CHI,20,ARI,13,October 14,H,253,288,3,1
2001,5,Sun,CAR,25,NO,27,October 14,A,218,358,3,3
2001,5,Sun,NYJ,21,MIA,17,October 14,H,268,348,0,4
2001,5,Sun,CIN,24,CLE,14,October 14,H,400,211,0,1
2001,5,Sun,KC,17,PIT,20,October 14,A,271,316,1,0
2001,5,Sun,SEA,34,DEN,21,October 14,H,254,281,1,3
2001,5,Sun,ATL,31,SF,37,October 14,A,342,517,1,2
2001,5,Sun,NE,29,SD,26,October 14,H,374,343,1,1
2001,5,Sun,STL,15,NYG,14,October 14,H,315,324,4,2
2001,5,Sun,GB,31,BAL,23,October 14,H,391,357,1,4
2001,5,Mon,DAL,9,WAS,7,October 15,H,386,226,1,1
2001,6,Thu,JAC,10,BUF,13,October 18,A,247,317,2,0
2001,6,Sun,DET,24,TEN,27,October 21,A,363,329,2,2
2001,6,Sun,CIN,0,CHI,24,October 21,A,264,435,1,1
2001,6,Sun,IND,17,NE,38,October 21,A,484,385,2,0
2001,6,Sun,ARI,24,KC,16,October 21,H,363,459,2,2
2001,6,Sun,TB,10,PIT,17,October 21,A,278,344,1,3
2001,6,Sun,MIN,35,GB,13,October 21,H,377,234,2,1
2001,6,Sun,CLE,24,BAL,14,October 21,H,219,321,0,3
2001,6,Sun,SD,27,DEN,10,October 21,H,379,263,2,3
2001,6,Sun,NYJ,14,STL,34,October 21,A,266,448,1,2
2001,6,Sun,NO,13,ATL,20,October 21,A,276,297,1,2
2001,6,Sun,WAS,17,CAR,14,October 21,H,443,342,2,4
2001,6,Mon,NYG,9,PHI,10,October 22,A,238,215,1,1
2001,7,Thu,KC,28,IND,35,October 25,A,415,373,3,1
2001,7,Sun,PHI,10,OAK,20,October 28,A,195,354,0,0
2001,7,Sun,CHI,37,SF,31,October 28,H,364,350,3,2
2001,7,Sun,SD,27,BUF,24,October 28,H,338,396,0,2
2001,7,Sun,DAL,17,ARI,3,October 28,H,225,292,2,4
2001,7,Sun,BAL,18,JAC,17,October 28,H,305,365,1,1
2001,7,Sun,SEA,20,MIA,24,October 28,A,302,289,2,4
2001,7,Sun,STL,31,NO,34,October 28,A,474,320,8,2
2001,7,Sun,DEN,31,NE,20,October 28,H,355,300,2,5
2001,7,Sun,DET,27,CIN,31,October 28,A,276,412,3,2
2001,7,Sun,TB,41,MIN,14,October 28,H,446,195,1,1
2001,7,Sun,WAS,35,NYG,21,October 28,H,353,388,0,2
2001,7,Sun,CAR,12,NYJ,13,October 28,A,162,358,1,4
2001,7,Mon,PIT,34,TEN,7,October 29,H,405,214,0,4
2001,8,Sun,WAS,27,SEA,14,November 4,H,365,275,1,4
2001,8,Sun,SF,21,DET,13,November 4,H,427,131,3,0
2001,8,Sun,BUF,14,IND,30,November 4,A,232,305,2,1
2001,8,Sun,CHI,27,CLE,21,November 4,H,413,261,4,1
2001,8,Sun,ARI,7,PHI,21,November 4,A,327,332,2,1
2001,8,Sun,GB,21,TB,20,November 4,H,352,194,3,0
2001,8,Sun,TEN,28,JAC,24,November 4,H,362,309,0,1
2001,8,Sun,NO,9,NYJ,16,November 4,A,246,272,4,2
2001,8,Sun,PIT,10,BAL,13,November 4,A,348,183,1,1
2001,8,Sun,ATL,10,NE,24,November 4,A,244,371,1,2
2001,8,Sun,NYG,27,DAL,24,November 4,H,358,324,5,4
2001,8,Sun,SD,20,KC,25,November 4,A,325,378,1,1
2001,8,Sun,MIA,23,CAR,6,November 4,H,337,281,1,1
2001,8,Mon,OAK,38,DEN,28,November 5,H,356,366,1,2
2001,9,Sun,SF,28,NO,27,November 11,H,415,488,0,1
2001,9,Sun,JAC,30,CIN,13,November 11,H,261,352,0,1
2001,9,Sun,CLE,12,PIT,15,November 11,A,187,428,0,1
2001,9,Sun,NE,21,BUF,11,November 11,H,205,242,3,2
2001,9,Sun,IND,24,MIA,27,November 11,A,289,375,3,3
2001,9,Sun,ARI,10,NYG,17,November 11,A,213,334,3,1
2001,9,Sun,ATL,20,DAL,13,November 11,H,201,303,1,2
2001,9,Sun,SEA,34,OAK,27,November 11,H,497,338,0,1
2001,9,Sun,PHI,48,MIN,17,November 11,H,487,301,1,4
2001,9,Sun,DET,17,TB,20,November 11,A,270,274,3,1
2001,9,Sun,CHI,12,GB,20,November 11,A,262,368,1,2
2001,9,Sun,NYJ,27,KC,7,November 11,H,353,224,2,4
2001,9,Sun,DEN,26,SD,16,November 11,H,338,243,1,5
2001,9,Sun,STL,48,CAR,14,November 11,H,493,146,4,3
2001,9,Mon,TEN,10,BAL,16,November 12,A,318,238,2,2
2001,10,Sun,DAL,3,PHI,36,November 18,A,213,227,4,1
2001,10,Sun,GB,20,ATL,23,November 18,A,313,417,4,2
2001,10,Sun,MIA,0,NYJ,24,November 18,A,254,162,5,0
2001,10,Sun,TB,24,CHI,27,November 18,A,414,274,4,1
2001,10,Sun,CIN,7,TEN,20,November 18,A,264,293,3,2
2001,10,Sun,OAK,34,SD,24,November 18,H,381,250,1,2
2001,10,Sun,PIT,20,JAC,7,November 18,H,402,234,0,3
2001,10,Sun,NO,34,IND,20,November 18,H,378,339,0,1
2001,10,Sun,ARI,45,DET,38,November 18,H,417,478,1,3
2001,10,Sun,BAL,17,CLE,27,November 18,A,350,232,5,3
2001,10,Sun,BUF,20,SEA,23,November 18,A,372,246,2,0
2001,10,Sun,DEN,10,WAS,17,November 18,A,186,245,2,3
2001,10,Sun,NE,17,STL,24,November 18,A,230,482,3,3
2001,10,Sun,CAR,22,SF,25,November 18,A,280,417,0,3
2001,10,Mon,MIN,28,NYG,16,November 19,H,359,358,3,2
2001,11,Thu,DET,27,GB,29,November 22,A,360,339,2,2
2001,11,Thu,DAL,24,DEN,26,November 22,A,191,279,2,1
2001,11,Sun,JAC,21,BAL,24,November 25,A,305,361,0,2
2001,11,Sun,PHI,3,WAS,13,November 25,A,186,240,0,0
2001,11,Sun,CLE,18,CIN,0,November 25,H,249,191,3,7
2001,11,Sun,IND,21,SF,40,November 25,A,491,340,5,1
2001,11,Sun,NE,34,NO,17,November 25,H,432,428,0,2
2001,11,Sun,SD,17,ARI,20,November 25,A,392,298,1,2
2001,11,Sun,KC,19,SEA,7,November 25,H,433,204,0,0
2001,11,Sun,CAR,7,ATL,10,November 25,A,247,239,2,0
2001,11,Sun,BUF,27,MIA,34,November 25,A,422,362,3,1
2001,11,Sun,TEN,24,PIT,34,November 25,A,405,377,2,0
2001,11,Sun,MIN,6,CHI,13,November 25,A,316,235,1,1
2001,11,Sun,NYG,10,OAK,28,November 25,A,313,339,0,0
2001,11,Mon,STL,17,TB,24,November 26,A,345,264,6,1
2001,12,Thu,KC,10,PHI,23,November 29,A,291,378,3,1
2001,12,Sun,SF,35,BUF,0,December 2,H,409,191,0,5
2001,12,Sun,CHI,13,DET,10,December 2,H,232,295,1,1
2001,12,Sun,BAL,39,IND,27,December 2,H,398,314,4,4
2001,12,Sun,CIN,13,TB,16,December 2,A,201,264,2,1
