Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1963,1,Sat,DAL,7,UNK,34,September 14,A,254,339,1,1
1963,1,Sat,UNK,2,DET,23,September 14,A,228,210,4,3
1963,1,Sun,GB,3,CHI,10,September 15,A,150,231,5,2
1963,1,Sun,SF,20,MIN,24,September 15,A,246,418,1,2
1963,1,Sun,CLE,37,WAS,14,September 15,H,543,272,2,3
1963,1,Sun,UNK,28,NYG,37,September 15,A,295,362,2,4
1963,1,Sun,PHI,21,PIT,21,September 15,T,353,315,4,2
1963,2,Sat,UNK,14,WAS,37,September 21,A,248,404,2,2
1963,2,Sun,SF,14,UNK,20,September 22,A,194,395,1,0
1963,2,Sun,PIT,31,NYG,0,September 22,H,286,175,1,5
1963,2,Sun,PHI,24,UNK,28,September 22,A,219,405,1,3
1963,2,Sun,MIN,7,CHI,28,September 22,A,326,359,5,1
1963,2,Sun,DAL,24,CLE,41,September 22,A,307,453,3,2
1963,2,Sun,GB,31,DET,10,September 22,H,316,147,4,4
1963,3,Sun,PHI,14,NYG,37,September 29,A,316,352,6,0
1963,3,Sun,DET,21,CHI,37,September 29,A,278,307,4,2
1963,3,Sun,MIN,45,SF,14,September 29,H,396,237,2,5
1963,3,Sun,GB,31,UNK,20,September 29,H,355,333,5,7
1963,3,Sun,PIT,23,UNK,10,September 29,H,217,303,1,5
1963,3,Sun,CLE,20,UNK,6,September 29,H,283,214,4,3
1963,3,Sun,WAS,21,DAL,17,September 29,H,273,349,2,3
1963,4,Sat,CLE,35,PIT,23,October 5,H,357,400,1,2
1963,4,Sun,CHI,10,UNK,3,October 6,H,281,210,1,2
1963,4,Sun,GB,42,UNK,10,October 6,H,418,163,1,3
1963,4,Sun,DET,26,SF,3,October 6,H,231,61,3,1
1963,4,Sun,WAS,14,NYG,24,October 6,A,251,457,0,1
1963,4,Sun,PHI,24,DAL,21,October 6,H,385,203,1,1
1963,4,Sun,MIN,14,UNK,56,October 6,A,218,520,3,1
1963,5,Sun,UNK,20,SF,3,October 13,H,302,120,4,2
1963,5,Sun,UNK,24,PIT,23,October 13,H,525,321,3,1
1963,5,Sun,NYG,24,CLE,35,October 13,A,211,340,1,1
1963,5,Sun,MIN,28,GB,37,October 13,A,338,435,5,6
1963,5,Sun,WAS,24,PHI,37,October 13,A,297,411,4,2
1963,5,Sun,DAL,17,DET,14,October 13,H,236,359,3,3
1963,5,Sun,UNK,14,CHI,52,October 13,A,203,286,8,3
1963,6,Sun,UNK,7,GB,30,October 20,A,248,324,5,3
1963,6,Sun,NYG,37,DAL,21,October 20,H,360,317,1,2
1963,6,Sun,UNK,27,MIN,24,October 20,H,279,207,3,3
1963,6,Sun,PIT,38,WAS,27,October 20,H,349,397,1,5
1963,6,Sun,SF,20,CHI,14,October 20,H,326,314,1,4
1963,6,Sun,CLE,37,PHI,7,October 20,H,500,161,2,3
1963,6,Sun,DET,21,UNK,25,October 20,A,161,256,2,1
1963,7,Sun,UNK,28,SF,21,October 27,H,390,282,1,1
1963,7,Sun,PIT,27,DAL,21,October 27,H,484,416,3,3
1963,7,Sun,WAS,7,UNK,21,October 27,A,183,404,6,4
1963,7,Sun,CLE,6,NYG,33,October 27,A,142,387,3,1
1963,7,Sun,DET,28,MIN,10,October 27,H,419,166,3,0
1963,7,Sun,UNK,20,GB,34,October 27,A,300,312,6,4
1963,7,Sun,CHI,16,PHI,7,October 27,H,354,211,1,6
1963,8,Sun,PHI,17,CLE,23,November 3,A,353,326,5,3
1963,8,Sun,MIN,21,UNK,13,November 3,H,241,216,1,3
1963,8,Sun,DAL,35,WAS,20,November 3,H,221,468,3,7
1963,8,Sun,SF,7,DET,45,November 3,A,133,509,4,3
1963,8,Sun,GB,33,PIT,14,November 3,H,399,278,2,5
1963,8,Sun,UNK,21,NYG,38,November 3,A,314,426,7,2
1963,8,Sun,UNK,7,CHI,17,November 3,A,192,276,3,0
1963,9,Sun,SF,31,DAL,24,November 10,H,394,532,1,3
1963,9,Sun,NYG,42,PHI,14,November 10,H,417,101,2,3
1963,9,Sun,UNK,24,WAS,20,November 10,H,288,268,0,3
1963,9,Sun,CHI,6,UNK,0,November 10,H,276,88,1,0
1963,9,Sun,PIT,9,CLE,7,November 10,H,382,227,1,1
1963,9,Sun,UNK,24,DET,21,November 10,H,474,330,3,0
1963,9,Sun,GB,28,MIN,7,November 10,H,374,292,3,2
1963,10,Sun,WAS,28,PIT,34,November 17,A,442,390,4,3
1963,10,Sun,DET,21,UNK,28,November 17,A,375,343,4,1
1963,10,Sun,NYG,48,SF,14,November 17,H,568,224,1,4
1963,10,Sun,MIN,34,UNK,37,November 17,A,426,408,0,2
1963,10,Sun,DAL,27,PHI,20,November 17,H,448,340,2,2
1963,10,Sun,CHI,26,GB,7,November 17,H,317,232,0,7
1963,10,Sun,CLE,14,UNK,20,November 17,A,302,348,4,2
1963,11,Sun,UNK,17,UNK,16,November 24,H,290,340,3,2
1963,11,Sun,CLE,27,DAL,17,November 24,H,337,207,5,4
1963,11,Sun,GB,28,SF,10,November 24,H,365,235,0,1
1963,11,Sun,NYG,17,UNK,24,November 24,A,336,177,4,1
1963,11,Sun,PIT,17,CHI,17,November 24,T,291,328,1,3
1963,11,Sun,MIN,34,DET,31,November 24,H,351,361,5,6
1963,11,Sun,PHI,10,WAS,13,November 24,A,295,245,2,3
1963,12,Thu,DET,13,GB,13,November 28,T,276,294,0,0
1963,12,Sun,UNK,10,CLE,24,December 1,A,198,403,1,1
1963,12,Sun,WAS,20,UNK,36,December 1,A,385,468,3,0
1963,12,Sun,PIT,20,PHI,20,December 1,T,374,221,5,3
1963,12,Sun,CHI,17,MIN,17,December 1,T,221,202,3,4
1963,12,Sun,SF,17,UNK,21,December 1,A,312,297,3,1
1963,12,Sun,DAL,27,NYG,34,December 1,A,296,264,5,3
1963,13,Sat,UNK,14,GB,31,December 7,A,170,378,3,0
1963,13,Sun,CHI,27,SF,7,December 8,H,301,246,2,5
1963,13,Sun,NYG,44,WAS,14,December 8,H,286,299,5,10
1963,13,Sun,DET,38,CLE,10,December 8,H,447,275,2,5
1963,13,Sun,UNK,38,PHI,14,December 8,H,358,269,2,5
1963,13,Sun,DAL,19,PIT,24,December 8,A,263,426,1,2
1963,13,Sun,UNK,41,MIN,10,December 8,H,439,203,1,3
1963,14,Sat,SF,17,GB,21,December 14,A,271,429,0,1
1963,14,Sun,UNK,24,DAL,28,December 15,A,443,214,4,2
1963,14,Sun,CHI,24,DET,14,December 15,H,321,221,2,3
1963,14,Sun,UNK,19,UNK,16,December 15,H,526,341,4,4
1963,14,Sun,NYG,33,PIT,17,December 15,H,423,400,4,5
1963,14,Sun,WAS,20,CLE,27,December 15,A,239,368,1,3
1963,14,Sun,PHI,13,MIN,34,December 15,A,217,227,4,0
1963,ConfChamp,,CHI,14,NYG,10,December 29,H,222,268,2,6
