Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1944,1,Sun,GB,14,UNK,7,September 17,H,218,258,3,3
1944,1,Sun,GB,42,CHI,28,September 24,H,364,273,4,8
1944,1,Sun,UNK,28,UNK,30,September 24,A,310,232,5,4
1944,1,Tue,UNK,7,PHI,28,September 26,A,66,228,3,0
1944,1,Sun,GB,27,DET,6,October 1,H,329,161,2,2
1944,2,Sun,DET,19,UNK,14,October 8,H,318,261,3,4
1944,2,Sun,UNK,10,NYG,22,October 8,A,199,160,2,3
1944,2,Sun,UNK,19,CHI,7,October 8,H,222,220,5,4
1944,2,Sun,PHI,31,WAS,31,October 8,T,313,394,1,0
1944,2,Sun,GB,34,UNK,7,October 8,H,388,187,3,6
1944,3,Sun,CHI,34,UNK,7,October 15,H,285,115,3,4
1944,3,Sun,UNK,14,WAS,21,October 15,A,205,284,2,1
1944,3,Sun,UNK,7,NYG,14,October 15,A,175,196,6,1
1944,3,Sun,DET,17,UNK,20,October 15,A,237,177,6,3
1944,4,Sun,CHI,21,DET,21,October 22,T,404,318,2,2
1944,4,Sun,NYG,23,UNK,0,October 22,H,333,215,6,7
1944,4,Sun,WAS,17,UNK,14,October 22,H,321,274,2,2
1944,4,Sun,PHI,38,UNK,0,October 22,H,291,111,1,3
1944,5,Sun,GB,30,UNK,21,October 22,H,452,337,4,1
1944,4,Sun,NYG,17,PHI,24,October 29,A,273,219,4,4
1944,5,Sun,WAS,42,UNK,20,October 29,H,351,367,2,6
1944,5,Sun,CHI,28,UNK,21,October 29,H,388,123,2,0
1944,5,Sun,UNK,14,UNK,17,October 29,A,164,126,4,3
1944,5,Sun,DET,0,GB,14,October 29,A,196,227,5,3
1944,6,Sun,WAS,14,UNK,10,November 5,H,199,407,3,4
1944,6,Sun,UNK,6,DET,27,November 5,A,284,277,9,5
1944,6,Sun,UNK,7,PHI,21,November 5,A,132,263,5,1
1944,6,Sun,CHI,21,GB,0,November 5,H,320,146,5,5
1944,6,Sun,NYG,31,UNK,0,November 5,H,255,173,2,4
1944,6,Sun,PHI,21,NYG,21,November 12,T,274,257,6,3
1944,7,Sun,UNK,0,WAS,10,November 12,A,278,175,5,1
1944,7,Sun,CHI,21,UNK,7,November 12,H,387,180,3,3
1944,7,Sun,DET,21,UNK,7,November 12,H,119,338,1,5
1944,8,Sun,UNK,7,GB,42,November 12,A,231,310,9,3
1944,7,Sun,WAS,7,PHI,37,November 19,A,287,306,4,2
1944,8,Sun,UNK,6,UNK,33,November 19,A,210,331,5,2
1944,8,Sun,UNK,13,UNK,6,November 19,H,221,226,0,4
1944,8,Sun,DET,41,CHI,21,November 19,H,324,314,3,4
1944,9,Sun,NYG,24,GB,0,November 19,H,257,283,2,5
1944,9,Sun,NYG,7,UNK,0,November 26,H,263,189,1,0
1944,9,Sun,WAS,14,UNK,7,November 26,H,269,128,4,4
1944,9,Sun,PHI,7,CHI,28,November 26,A,96,176,6,2
1944,9,Sun,UNK,20,GB,35,November 26,A,157,277,4,1
1944,9,Sun,UNK,14,DET,26,November 26,A,166,237,6,7
1944,9,Sun,NYG,16,WAS,13,December 3,H,202,328,2,3
1944,10,Sun,PHI,34,UNK,0,December 3,H,300,29,3,4
1944,10,Sun,DET,38,UNK,7,December 3,H,414,151,4,4
1944,10,Sun,UNK,7,CHI,49,December 3,A,94,412,2,1
1944,10,Sun,WAS,0,NYG,31,December 10,A,301,190,8,0
1944,10,Sun,PHI,26,UNK,13,December 10,H,317,216,5,7
1944,ConfChamp,,NYG,7,GB,14,December 17,A,199,237,4,3
