Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1967,1,Sun,UNK,38,ATL,31,September 17,H,508,303,2,5
1967,1,Sun,PIT,41,CHI,13,September 17,H,393,95,2,6
1967,1,Sun,CLE,14,DAL,21,September 17,A,221,370,3,4
1967,1,Sun,UNK,20,NYG,37,September 17,A,358,336,6,0
1967,1,Sun,GB,17,DET,17,September 17,T,306,233,5,1
1967,1,Sun,MIN,21,SF,27,September 17,A,335,360,3,1
1967,1,Sun,NO,13,UNK,27,September 17,A,299,462,3,1
1967,1,Sun,PHI,35,WAS,24,September 17,H,426,388,2,1
1967,2,Fri,UNK,39,MIN,3,September 22,H,237,224,2,6
1967,2,Sun,GB,13,CHI,10,September 24,H,365,159,8,1
1967,2,Sun,NO,10,WAS,30,September 24,A,290,369,0,1
1967,2,Sun,SF,38,ATL,7,September 24,H,517,97,2,1
1967,2,Sun,DAL,38,NYG,24,September 24,H,414,266,1,3
1967,2,Sun,PIT,14,UNK,28,September 24,A,237,283,6,1
1967,2,Sun,PHI,6,UNK,38,September 24,A,299,345,4,0
1967,2,Sun,DET,31,CLE,14,September 24,H,461,269,0,3
1967,3,Sun,PHI,34,PIT,24,October 1,H,319,318,1,3
1967,3,Sun,WAS,38,NYG,34,October 1,H,405,520,2,3
1967,3,Sun,DAL,13,UNK,35,October 1,A,272,356,4,1
1967,3,Sun,UNK,38,DET,28,October 1,H,403,310,1,3
1967,3,Sun,UNK,41,SF,7,October 1,H,524,240,0,2
1967,3,Sun,NO,7,CLE,42,October 1,A,266,421,5,4
1967,3,Sun,MIN,7,CHI,17,October 1,A,200,221,2,0
1967,3,Sun,GB,23,ATL,0,October 1,H,382,58,2,2
1967,4,Sat,CLE,21,PIT,10,October 7,H,361,278,3,4
1967,4,Sun,UNK,24,SF,27,October 8,A,253,335,6,3
1967,4,Sun,NYG,27,NO,21,October 8,H,535,210,1,1
1967,4,Sun,DET,17,GB,27,October 8,A,122,249,5,4
1967,4,Sun,WAS,14,DAL,17,October 8,A,253,320,3,2
1967,4,Sun,MIN,24,UNK,34,October 8,A,337,412,3,3
1967,4,Sun,CHI,3,UNK,24,October 8,A,272,219,5,4
1967,4,Sun,ATL,7,PHI,38,October 8,A,308,380,6,0
1967,5,Sun,PHI,27,SF,28,October 15,A,244,386,0,0
1967,5,Sun,PIT,24,NYG,27,October 15,A,259,381,2,2
1967,5,Sun,GB,7,MIN,10,October 15,A,268,183,3,2
1967,5,Sun,DAL,14,NO,10,October 15,H,234,207,3,3
1967,5,Sun,UNK,24,UNK,24,October 15,T,368,410,2,1
1967,5,Sun,CLE,20,UNK,16,October 15,H,223,349,1,5
1967,5,Sun,CHI,14,DET,3,October 15,H,265,168,3,3
1967,5,Sun,ATL,20,WAS,20,October 15,T,323,415,2,3
1967,6,Sun,UNK,28,WAS,28,October 22,T,438,354,1,0
1967,6,Sun,SF,27,NO,13,October 22,H,318,200,1,2
1967,6,Sun,NYG,21,GB,48,October 22,A,324,397,4,0
1967,6,Sun,PIT,21,DAL,24,October 22,A,379,378,2,1
1967,6,Sun,UNK,48,PHI,14,October 22,H,416,319,0,2
1967,6,Sun,MIN,20,UNK,20,October 22,T,310,343,0,1
1967,6,Sun,CLE,24,CHI,0,October 22,H,347,136,1,2
1967,6,Sun,DET,24,ATL,3,October 22,H,250,223,1,1
1967,7,Sun,PHI,21,DAL,14,October 29,H,341,306,6,5
1967,7,Sun,NO,10,PIT,14,October 29,A,308,267,1,4
1967,7,Sun,WAS,13,UNK,17,October 29,A,322,351,3,2
1967,7,Sun,NYG,38,CLE,34,October 29,H,386,369,2,4
1967,7,Sun,CHI,17,UNK,28,October 29,A,180,309,4,3
1967,7,Sun,ATL,21,MIN,20,October 29,H,186,314,2,2
1967,7,Sun,SF,3,DET,45,October 29,A,173,391,6,2
1967,7,Mon,UNK,23,GB,31,October 30,A,405,246,2,2
1967,8,Sun,SF,7,UNK,17,November 5,A,257,152,3,0
1967,8,Sun,NO,31,PHI,24,November 5,H,249,359,2,2
1967,8,Sun,MIN,27,NYG,24,November 5,H,304,403,3,2
1967,8,Sun,WAS,21,UNK,27,November 5,A,219,414,3,2
1967,8,Sun,UNK,13,GB,10,November 5,H,237,265,2,1
