Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1948,1,Fri,UNK,0,GB,31,September 17,A,121,342,5,3
1948,1,Wed,UNK,44,DET,7,September 22,H,407,276,4,7
1948,2,Thu,UNK,7,NYG,27,September 23,A,228,299,7,3
1948,1,Fri,UNK,21,PHI,14,September 24,H,340,331,2,4
1948,1,Sun,WAS,17,PIT,14,September 26,H,399,344,1,3
1948,1,Sun,GB,7,CHI,45,September 26,A,186,297,6,1
1948,2,Sun,WAS,41,NYG,10,October 3,H,495,102,3,6
1948,2,Sun,UNK,28,PHI,28,October 3,T,403,280,2,2
1948,2,Sun,GB,33,DET,21,October 3,H,423,212,1,2
1948,3,Sun,PIT,24,UNK,14,October 3,H,339,137,5,2
1948,2,Mon,UNK,17,CHI,28,October 4,A,300,330,3,3
1948,4,Sat,DET,14,UNK,17,October 9,A,460,184,3,2
1948,3,Sun,PHI,45,NYG,0,October 10,H,366,125,2,5
1948,3,Sun,CHI,42,UNK,21,October 10,H,413,300,2,5
1948,3,Sun,GB,7,UNK,17,October 10,A,237,355,4,6
1948,3,Sun,PIT,10,WAS,7,October 10,H,210,243,2,6
1948,4,Sun,WAS,0,PHI,45,October 17,A,213,416,5,1
1948,4,Sun,NYG,35,UNK,63,October 17,A,392,579,2,1
1948,4,Sun,CHI,28,DET,0,October 17,H,397,109,5,4
1948,5,Sun,UNK,13,PIT,7,October 17,H,242,205,4,7
1948,5,Sun,GB,16,UNK,0,October 17,H,289,328,4,9
1948,5,Sun,NYG,34,PIT,27,October 24,H,336,287,1,5
1948,5,Sun,PHI,12,CHI,7,October 24,H,175,223,3,4
1948,5,Sun,DET,27,UNK,34,October 24,A,290,385,6,2
1948,6,Sun,GB,7,WAS,23,October 24,A,309,307,3,1
1948,6,Sun,UNK,49,UNK,27,October 24,H,442,223,3,6
1948,6,Sun,DET,24,GB,20,October 31,H,383,306,5,4
1948,6,Sun,UNK,22,UNK,27,October 31,A,460,477,3,3
1948,6,Sun,CHI,35,NYG,14,October 31,H,461,204,7,4
1948,6,Sun,PIT,7,PHI,34,October 31,A,254,334,6,3
1948,7,Sun,WAS,59,UNK,21,October 31,H,625,333,5,8
1948,7,Sun,NYG,14,PHI,35,November 7,A,376,458,2,4
1948,7,Sun,UNK,6,CHI,21,November 7,A,242,328,1,2
1948,7,Sun,UNK,56,DET,20,November 7,H,484,357,3,3
1948,8,Sun,UNK,7,WAS,23,November 7,A,242,386,3,3
1948,8,Sun,PIT,38,GB,7,November 7,H,301,250,3,3
1948,8,Sun,CHI,7,GB,6,November 14,H,199,220,3,2
1948,8,Sun,NYG,37,UNK,52,November 14,A,233,390,4,5
1948,8,Sun,WAS,46,DET,21,November 14,H,450,321,4,6
1948,8,Sun,PIT,7,UNK,24,November 14,A,327,368,5,1
1948,9,Sun,PHI,45,UNK,0,November 14,H,489,162,2,3
1948,9,Sun,UNK,27,UNK,24,November 21,H,386,415,2,3
1948,9,Sun,PHI,42,WAS,21,November 21,H,575,254,3,2
1948,9,Sun,DET,17,PIT,14,November 21,H,192,288,0,5
1948,10,Sun,GB,3,NYG,49,November 21,A,232,443,8,2
1948,10,Sun,UNK,17,CHI,51,November 21,A,251,468,6,1
1948,10,Thu,DET,14,UNK,28,November 25,A,370,263,4,0
1948,10,Sun,CHI,48,WAS,13,November 28,H,317,335,4,7
1948,10,Sun,PHI,17,PIT,0,November 28,H,350,200,5,2
1948,11,Sun,UNK,24,GB,10,November 28,H,445,197,5,5
1948,11,Sun,NYG,28,UNK,14,November 28,H,403,157,2,5
1948,11,Sun,WAS,13,UNK,41,December 5,A,267,395,3,1
1948,11,Sun,DET,14,CHI,42,December 5,A,266,451,3,3
1948,11,Sun,UNK,42,GB,7,December 5,H,388,132,2,5
1948,11,Sun,PIT,38,NYG,28,December 5,H,431,463,0,3
1948,12,Sun,UNK,37,PHI,14,December 5,H,198,325,3,5
1948,12,Sun,CHI,21,UNK,24,December 12,A,462,312,5,2
1948,12,Sun,NYG,21,WAS,28,December 12,A,347,490,2,3
1948,12,Sun,UNK,31,PIT,14,December 12,H,321,277,2,3
1948,12,Sun,PHI,45,DET,21,December 12,H,520,412,0,3
1948,ConfChamp,,PHI,7,UNK,0,December 19,H,232,131,3,3
