Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1932,1,Sun,GB,15,UNK,7,September 18,H,0,0,0,0
1932,1,Sun,UNK,0,UNK,7,September 25,A,0,0,0,0
1932,1,Sun,UNK,7,NYG,0,September 25,H,0,0,0,0
1932,1,Sun,GB,0,CHI,0,September 25,T,0,0,0,0
1932,2,Sun,UNK,0,CHI,0,October 2,T,0,0,0,0
1932,2,Sun,UNK,7,UNK,7,October 2,T,0,0,0,0
1932,2,Sun,UNK,0,UNK,14,October 2,A,0,0,0,0
1932,3,Sun,GB,13,NYG,0,October 2,H,0,0,0,0
1932,3,Sun,UNK,0,CHI,0,October 9,T,0,0,0,0
1932,3,Sun,GB,15,UNK,10,October 9,H,0,0,0,0
1932,3,Sun,UNK,6,UNK,7,October 9,A,0,0,0,0
1932,3,Sun,UNK,14,NYG,6,October 9,H,0,0,0,0
1932,4,Sun,UNK,7,UNK,7,October 16,T,0,0,0,0
1932,4,Sun,NYG,20,UNK,12,October 16,H,0,0,0,0
1932,4,Sun,UNK,0,UNK,9,October 16,A,0,0,0,0
1932,4,Sun,CHI,0,GB,2,October 16,A,0,0,0,0
1932,5,Thu,UNK,6,UNK,13,October 20,A,0,0,0,0
1932,5,Sun,GB,13,UNK,0,October 23,H,0,0,0,0
1932,5,Sun,CHI,27,UNK,7,October 23,H,0,0,0,0
1932,5,Sun,NYG,0,UNK,0,October 23,T,0,0,0,0
1932,6,Sun,UNK,7,CHI,7,October 30,T,0,0,0,0
1932,6,Sun,UNK,27,UNK,7,October 30,H,0,0,0,0
1932,6,Sun,NYG,0,UNK,6,October 30,A,0,0,0,0
1932,7,Sun,GB,26,UNK,0,October 30,H,0,0,0,0
1932,6,Sun,UNK,9,GB,19,November 6,A,0,0,0,0
1932,7,Sun,UNK,7,UNK,17,November 6,A,0,0,0,0
1932,7,Sun,NYG,8,CHI,28,November 6,A,0,0,0,0
1932,8,Sun,UNK,19,UNK,6,November 6,H,0,0,0,0
1932,8,Sun,NYG,27,UNK,7,November 13,H,0,0,0,0
1932,8,Sun,UNK,3,UNK,0,November 13,H,0,0,0,0
1932,8,Sun,CHI,13,UNK,13,November 13,T,0,0,0,0
1932,9,Sun,UNK,0,GB,21,November 13,A,0,0,0,0
1932,8,Sun,UNK,21,UNK,7,November 20,H,0,0,0,0
1932,9,Sun,CHI,20,UNK,0,November 20,H,0,0,0,0
1932,9,Sun,UNK,10,UNK,0,November 20,H,0,0,0,0
1932,10,Sun,NYG,6,GB,0,November 20,H,0,0,0,0
1932,10,Thu,CHI,34,UNK,0,November 24,H,0,0,0,0
1932,10,Thu,UNK,0,GB,7,November 24,A,0,0,0,0
1932,10,Thu,UNK,13,NYG,13,November 24,T,0,0,0,0
1932,10,Sun,UNK,6,UNK,8,November 27,A,0,0,0,0
1932,11,Sun,UNK,7,NYG,13,November 27,A,0,0,0,0
1932,11,Sun,UNK,7,CHI,7,November 27,T,0,0,0,0
1932,12,Sun,UNK,3,GB,21,November 27,A,0,0,0,0
1932,11,Sun,UNK,19,GB,0,December 4,H,0,0,0,0
1932,12,Sun,CHI,6,NYG,0,December 4,H,0,0,0,0
1932,12,Sun,UNK,0,UNK,7,December 4,A,0,0,0,0
1932,13,Sun,CHI,9,GB,0,December 11,H,0,0,0,0
1932,14,Sun,CHI,9,UNK,0,December 18,H,0,0,0,0
