Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
2012,1,Wed,NYG,17,DAL,24,September 5,A,269,433,1,1
2012,1,Sun,CLE,16,PHI,17,September 9,A,210,456,4,5
2012,1,Sun,TEN,13,NE,34,September 9,A,284,390,2,0
2012,1,Sun,DEN,31,PIT,19,September 9,H,334,284,1,1
2012,1,Sun,GB,22,SF,30,September 9,A,324,377,1,0
2012,1,Sun,ARI,20,SEA,16,September 9,H,253,254,2,2
2012,1,Sun,NO,32,WAS,40,September 9,A,358,459,3,0
2012,1,Sun,CHI,41,IND,21,September 9,H,428,356,1,5
2012,1,Sun,KC,24,ATL,40,September 9,A,393,376,3,0
2012,1,Sun,HOU,30,MIA,10,September 9,H,337,275,0,4
2012,1,Sun,DET,27,STL,23,September 9,H,429,250,3,0
2012,1,Sun,TB,16,CAR,10,September 9,H,258,301,0,2
2012,1,Sun,MIN,26,JAC,23,September 9,H,389,355,1,1
2012,1,Sun,NYJ,48,BUF,28,September 9,H,384,390,1,4
2012,1,Mon,BAL,44,CIN,13,September 10,H,430,322,0,2
2012,1,Mon,OAK,14,SD,22,September 10,A,321,258,1,0
2012,2,Thu,GB,23,CHI,10,September 13,H,321,168,2,4
2012,2,Sun,NYG,41,TB,34,September 16,H,604,307,3,2
2012,2,Sun,MIA,35,OAK,13,September 16,H,452,396,0,1
2012,2,Sun,CAR,35,NO,27,September 16,H,463,486,1,2
2012,2,Sun,SEA,27,DAL,7,September 16,H,315,296,0,2
2012,2,Sun,BUF,35,KC,17,September 16,H,379,422,0,3
2012,2,Sun,CIN,34,CLE,27,September 16,H,375,439,1,1
2012,2,Sun,NE,18,ARI,20,September 16,A,387,242,1,2
2012,2,Sun,JAC,7,HOU,27,September 16,A,117,411,1,0
2012,2,Sun,PHI,24,BAL,23,September 16,H,486,325,4,2
2012,2,Sun,IND,23,MIN,20,September 16,H,278,327,0,1
2012,2,Sun,PIT,27,NYJ,10,September 16,H,331,219,0,1
2012,2,Sun,STL,31,WAS,28,September 16,H,452,373,3,1
2012,2,Sun,SD,38,TEN,10,September 16,H,416,212,1,1
2012,2,Sun,SF,27,DET,19,September 16,H,349,296,1,1
2012,2,Mon,ATL,27,DEN,21,September 17,H,275,336,0,4
2012,3,Thu,CAR,7,NYG,36,September 20,A,327,405,5,0
2012,3,Sun,OAK,34,PIT,31,September 23,H,321,433,1,2
2012,3,Sun,CHI,23,STL,6,September 23,H,274,160,1,2
2012,3,Sun,IND,17,JAC,22,September 23,A,437,333,1,0
2012,3,Sun,TEN,44,DET,41,September 23,H,437,583,2,1
2012,3,Sun,MIN,24,SF,13,September 23,H,344,280,2,3
2012,3,Sun,SD,3,ATL,27,September 23,A,280,384,4,1
2012,3,Sun,BAL,31,NE,30,September 23,H,503,396,1,0
2012,3,Sun,MIA,20,NYJ,23,September 23,A,381,388,2,2
2012,3,Sun,ARI,27,PHI,6,September 23,H,292,307,0,3
2012,3,Sun,WAS,31,CIN,38,September 23,A,381,478,1,2
2012,3,Sun,DEN,25,HOU,31,September 23,A,375,436,1,2
2012,3,Sun,DAL,16,TB,10,September 23,H,297,166,3,2
2012,3,Sun,NO,24,KC,27,September 23,A,288,510,1,3
2012,3,Sun,CLE,14,BUF,24,September 23,A,240,344,2,1
2012,3,Mon,SEA,14,GB,12,September 24,H,238,268,0,0
2012,4,Thu,BAL,23,CLE,16,September 27,H,438,357,1,2
2012,4,Sun,STL,19,SEA,13,September 30,H,286,319,1,3
