Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
2003,1,Thu,WAS,16,NYJ,13,September 4,H,327,158,2,0
2003,1,Sun,CLE,6,IND,9,September 7,A,280,271,2,2
2003,1,Sun,DET,42,ARI,24,September 7,H,261,434,0,3
2003,1,Sun,CAR,24,JAC,23,September 7,H,242,331,2,1
2003,1,Sun,BUF,31,NE,0,September 7,H,322,239,2,4
2003,1,Sun,DAL,13,ATL,27,September 7,A,403,318,2,1
2003,1,Sun,GB,25,MIN,30,September 7,A,304,337,5,2
2003,1,Sun,MIA,20,HOU,21,September 7,A,301,393,3,0
2003,1,Sun,KC,27,SD,14,September 7,H,390,232,2,2
2003,1,Sun,SF,49,CHI,7,September 7,H,391,127,2,5
2003,1,Sun,SEA,27,NO,10,September 7,H,270,359,0,4
2003,1,Sun,NYG,23,STL,13,September 7,H,336,355,3,4
2003,1,Sun,TEN,25,OAK,20,September 7,H,334,280,2,1
2003,1,Sun,PIT,34,BAL,15,September 7,H,339,231,1,2
2003,1,Sun,CIN,10,DEN,30,September 7,A,294,293,4,3
2003,1,Mon,PHI,0,TB,17,September 8,A,245,328,2,1
2003,2,Sun,MIN,24,CHI,13,September 14,H,400,208,1,1
2003,2,Sun,OAK,23,CIN,20,September 14,H,237,416,0,2
2003,2,Sun,STL,27,SF,24,September 14,H,278,390,4,1
2003,2,Sun,PHI,10,NE,31,September 14,A,268,309,6,0
2003,2,Sun,NYJ,10,MIA,21,September 14,A,387,376,1,1
2003,2,Sun,KC,41,PIT,20,September 14,H,282,380,2,4
2003,2,Sun,NO,31,HOU,10,September 14,H,292,258,0,2
2003,2,Sun,GB,31,DET,6,September 14,H,332,293,2,3
2003,2,Sun,SD,13,DEN,37,September 14,A,303,382,1,0
2003,2,Sun,ARI,0,SEA,38,September 14,A,286,323,6,0
2003,2,Sun,BAL,33,CLE,13,September 14,H,393,175,3,3
2003,2,Sun,TB,9,CAR,12,September 14,A,397,258,1,2
2003,2,Sun,JAC,17,BUF,38,September 14,A,287,371,0,0
2003,2,Sun,ATL,31,WAS,33,September 14,A,283,435,2,2
2003,2,Sun,IND,33,TEN,7,September 14,H,291,236,0,2
2003,2,Mon,NYG,32,DAL,35,September 15,A,309,403,3,1
2003,3,Sun,CIN,10,PIT,17,September 21,A,182,376,1,1
2003,3,Sun,SF,12,CLE,13,September 21,A,265,251,1,2
2003,3,Sun,IND,23,JAC,13,September 21,H,289,266,1,1
