Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1986,1,Sun,NO,10,ATL,31,September 7,A,176,442,2,2
1986,1,Sun,TB,7,SF,31,September 7,A,286,453,7,2
1986,1,Sun,SEA,30,PIT,0,September 7,H,374,146,2,5
1986,1,Sun,WAS,41,PHI,14,September 7,H,433,267,1,2
1986,1,Sun,SD,50,MIA,28,September 7,H,500,339,0,4
1986,1,Sun,GB,3,UNK,31,September 7,A,224,375,2,1
1986,1,Sun,MIN,10,DET,13,September 7,A,275,303,2,1
1986,1,Sun,DEN,38,UNK,36,September 7,H,290,431,1,3
1986,1,Sun,UNK,10,UNK,16,September 7,A,247,269,2,2
1986,1,Sun,NE,33,IND,3,September 7,H,373,284,0,3
1986,1,Sun,KC,24,CIN,14,September 7,H,325,283,3,3
1986,1,Sun,CHI,41,CLE,31,September 7,H,367,349,1,1
1986,1,Sun,BUF,24,NYJ,28,September 7,A,368,390,2,0
1986,1,Mon,DAL,31,NYG,28,September 8,H,378,377,2,2
1986,2,Thu,NYJ,6,NE,20,September 11,A,221,265,3,1
1986,2,Sun,SEA,23,KC,17,September 14,H,331,265,1,3
1986,2,Sun,TB,10,MIN,23,September 14,A,239,242,3,0
1986,2,Sun,NYG,20,SD,7,September 14,H,391,262,1,7
1986,2,Sun,WAS,10,UNK,6,September 14,H,271,266,2,3
1986,2,Sun,UNK,16,SF,13,September 14,H,192,325,0,2
1986,2,Sun,NO,24,GB,10,September 14,H,289,358,3,7
1986,2,Sun,DET,7,DAL,31,September 14,A,184,388,3,2
1986,2,Sun,MIA,30,IND,10,September 14,H,388,253,1,2
1986,2,Sun,UNK,20,CLE,23,September 14,A,404,243,5,1
1986,2,Sun,CHI,13,PHI,10,September 14,H,344,247,4,6
1986,2,Sun,CIN,36,BUF,33,September 14,H,405,378,3,2
1986,2,Sun,ATL,33,UNK,13,September 14,H,342,265,0,1
1986,2,Mon,PIT,10,DEN,21,September 15,A,236,326,3,1
1986,3,Thu,CLE,13,CIN,30,September 18,A,338,399,1,1
1986,3,Sun,BUF,17,UNK,10,September 21,H,176,381,1,1
1986,3,Sun,SD,27,WAS,30,September 21,A,351,425,3,1
1986,3,Sun,UNK,9,NYG,14,September 21,A,318,334,2,2
1986,3,Sun,NE,31,SEA,38,September 21,A,506,303,1,0
1986,3,Sun,SF,26,NO,17,September 21,H,461,229,1,1
1986,3,Sun,MIN,31,PIT,7,September 21,H,412,235,1,3
1986,3,Sun,NYJ,51,MIA,45,September 21,H,581,485,4,3
1986,3,Sun,KC,27,UNK,13,September 21,H,223,284,1,3
1986,3,Sun,DET,20,TB,24,September 21,A,379,253,5,1
1986,3,Sun,PHI,7,DEN,33,September 21,A,273,328,2,1
1986,3,Sun,IND,7,UNK,24,September 21,A,177,316,2,2
1986,3,Sun,DAL,35,ATL,37,September 21,A,415,420,4,1
1986,3,Mon,GB,12,CHI,25,September 22,A,278,296,1,2
1986,4,Sun,MIA,16,SF,31,September 28,A,437,314,4,1
1986,4,Sun,NYG,20,NO,17,September 28,H,388,196,3,1
1986,4,Sun,UNK,16,PIT,22,September 28,A,281,375,3,2
1986,4,Sun,PHI,34,UNK,20,September 28,H,395,320,1,3
1986,4,Sun,WAS,19,SEA,14,September 28,H,357,361,1,2
1986,4,Sun,MIN,42,GB,7,September 28,H,383,220,1,4
1986,4,Sun,DEN,27,NE,20,September 28,H,338,224,2,1
1986,4,Sun,UNK,17,SD,13,September 28,H,377,256,5,4
1986,4,Sun,TB,20,ATL,23,September 28,A,322,490,1,2
1986,4,Sun,BUF,17,KC,20,September 28,A,366,327,4,1
1986,4,Sun,CIN,7,CHI,44,September 28,A,338,476,5,2
1986,4,Sun,CLE,24,DET,21,September 28,H,254,333,1,0
1986,4,Sun,IND,7,NYJ,26,September 28,A,282,251,4,5
1986,4,Mon,UNK,7,DAL,31,September 29,A,225,287,4,2
1986,5,Sun,UNK,26,TB,20,October 5,H,357,234,2,1
1986,5,Sun,NO,6,WAS,14,October 5,A,237,299,1,0
1986,5,Sun,NE,34,MIA,7,October 5,H,429,251,0,3
1986,5,Sun,KC,17,UNK,24,October 5,A,181,270,2,2
1986,5,Sun,DET,24,UNK,13,October 5,H,234,454,1,4
1986,5,Sun,DEN,29,DAL,14,October 5,H,319,266,1,3
1986,5,Sun,UNK,6,NYG,13,October 5,A,241,144,2,1
1986,5,Sun,SF,35,IND,14,October 5,H,358,323,1,5
1986,5,Sun,ATL,0,PHI,16,October 5,A,228,309,3,1
1986,5,Sun,NYJ,14,BUF,13,October 5,H,382,320,1,1
1986,5,Sun,CHI,23,MIN,0,October 5,H,370,159,3,3
1986,5,Sun,GB,28,CIN,34,October 5,A,328,378,2,1
1986,5,Sun,PIT,24,CLE,27,October 5,A,308,270,4,3
1986,5,Mon,SEA,33,SD,7,October 6,H,512,271,3,5
1986,6,Sun,SD,14,DEN,31,October 12,A,358,403,2,1
1986,6,Sun,GB,14,DET,21,October 12,A,279,338,2,1
1986,6,Sun,SF,24,MIN,27,October 12,A,413,351,2,3
1986,6,Sun,NE,24,NYJ,31,October 12,A,400,322,2,0
1986,6,Sun,NYG,35,PHI,3,October 12,H,394,117,1,2
1986,6,Sun,UNK,14,SEA,10,October 12,H,323,211,2,0
1986,6,Sun,DAL,30,WAS,6,October 12,H,424,184,2,3
1986,6,Sun,TB,19,UNK,30,October 12,A,347,431,0,1
1986,6,Sun,ATL,26,UNK,14,October 12,H,275,290,2,3
