Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1924,1,Sat,UNK,21,UNK,0,September 27,H,0,0,0,0
1924,1,Sun,UNK,17,UNK,7,September 28,H,0,0,0,0
1924,1,Sun,UNK,6,GB,3,September 28,H,0,0,0,0
1924,1,Sun,UNK,0,CHI,0,September 28,T,0,0,0,0
1924,1,Sun,UNK,10,UNK,0,September 28,H,0,0,0,0
1924,2,Sat,UNK,31,UNK,6,October 4,H,0,0,0,0
1924,1,Sun,UNK,19,UNK,7,October 5,H,0,0,0,0
1924,1,Sun,UNK,0,UNK,3,October 5,A,0,0,0,0
1924,1,Sun,UNK,13,UNK,0,October 5,H,0,0,0,0
1924,1,Sun,UNK,3,UNK,0,October 5,H,0,0,0,0
1924,2,Sun,UNK,3,GB,0,October 5,H,0,0,0,0
1924,2,Sun,UNK,16,CHI,14,October 5,H,0,0,0,0
1924,2,Sun,UNK,9,UNK,0,October 5,H,0,0,0,0
1924,2,Sun,UNK,0,UNK,3,October 5,A,0,0,0,0
1924,2,Sat,UNK,3,UNK,3,October 11,T,0,0,0,0
1924,2,Sun,UNK,0,UNK,7,October 12,A,0,0,0,0
1924,2,Sun,UNK,29,UNK,14,October 12,H,0,0,0,0
1924,2,Sun,UNK,26,UNK,0,October 12,H,0,0,0,0
1924,2,Sun,UNK,7,UNK,15,October 12,A,0,0,0,0
1924,2,Sun,UNK,21,UNK,0,October 12,H,0,0,0,0
1924,3,Sun,UNK,13,UNK,0,October 12,H,0,0,0,0
1924,3,Sun,CHI,10,UNK,10,October 12,T,0,0,0,0
1924,3,Sun,GB,16,UNK,0,October 12,H,0,0,0,0
1924,3,Sat,UNK,23,UNK,7,October 18,H,0,0,0,0
1924,3,Sun,UNK,13,UNK,3,October 19,H,0,0,0,0
1924,3,Sun,UNK,6,UNK,6,October 19,T,0,0,0,0
1924,3,Sun,UNK,20,UNK,0,October 19,H,0,0,0,0
1924,3,Sun,UNK,26,UNK,0,October 19,H,0,0,0,0
1924,4,Sun,GB,17,UNK,0,October 19,H,0,0,0,0
1924,4,Sun,CHI,6,UNK,0,October 19,H,0,0,0,0
1924,3,Sun,UNK,32,UNK,0,October 26,H,0,0,0,0
1924,3,Sun,UNK,17,UNK,13,October 26,H,0,0,0,0
1924,4,Sun,UNK,59,UNK,0,October 26,H,0,0,0,0
1924,4,Sun,UNK,6,UNK,17,October 26,A,0,0,0,0
1924,4,Sun,UNK,23,UNK,7,October 26,H,0,0,0,0
1924,5,Sun,CHI,33,UNK,3,October 26,H,0,0,0,0
1924,5,Sun,GB,19,UNK,0,October 26,H,0,0,0,0
1924,5,Sun,UNK,0,UNK,10,October 26,A,0,0,0,0
1924,5,Sun,UNK,3,UNK,6,October 26,A,0,0,0,0
1924,4,Sat,UNK,23,UNK,0,November 1,H,0,0,0,0
1924,4,Sun,UNK,0,UNK,6,November 2,A,0,0,0,0
1924,5,Sun,UNK,0,UNK,6,November 2,A,0,0,0,0
1924,5,Sun,UNK,0,UNK,24,November 2,A,0,0,0,0
1924,5,Sun,UNK,35,UNK,0,November 2,H,0,0,0,0
1924,5,Sun,UNK,30,UNK,0,November 2,H,0,0,0,0
1924,6,Sun,GB,6,UNK,3,November 2,H,0,0,0,0
1924,6,Sun,CHI,3,UNK,3,November 2,T,0,0,0,0
1924,6,Sun,UNK,8,UNK,17,November 2,A,0,0,0,0
1924,9,Sat,UNK,42,UNK,7,November 8,H,0,0,0,0
1924,5,Sun,GB,13,UNK,0,November 9,H,0,0,0,0
1924,6,Sun,UNK,7,UNK,20,November 9,A,0,0,0,0
1924,6,Sun,UNK,27,UNK,0,November 9,H,0,0,0,0
1924,7,Sun,UNK,3,UNK,6,November 9,A,0,0,0,0
1924,7,Sun,CHI,12,UNK,6,November 9,H,0,0,0,0
1924,7,Sun,UNK,28,UNK,7,November 9,H,0,0,0,0
1924,7,Sun,UNK,23,UNK,0,November 9,H,0,0,0,0
1924,7,Tue,UNK,7,UNK,3,November 11,H,0,0,0,0
1924,10,Sat,UNK,39,UNK,7,November 15,H,0,0,0,0
1924,7,Sun,UNK,13,UNK,0,November 16,H,0,0,0,0
1924,7,Sun,UNK,14,UNK,6,November 16,H,0,0,0,0
1924,7,Sun,UNK,7,UNK,12,November 16,A,0,0,0,0
1924,7,Sun,UNK,16,UNK,0,November 16,H,0,0,0,0
1924,8,Sun,UNK,17,UNK,0,November 16,H,0,0,0,0
1924,8,Sun,UNK,10,GB,17,November 16,A,0,0,0,0
1924,8,Sun,CHI,3,UNK,3,November 16,T,0,0,0,0
1924,8,Sat,UNK,0,UNK,16,November 22,A,0,0,0,0
1924,12,Sat,UNK,21,UNK,6,November 22,H,0,0,0,0
1924,6,Sun,UNK,0,UNK,9,November 23,A,0,0,0,0
1924,8,Sun,UNK,7,UNK,0,November 23,H,0,0,0,0
1924,9,Sun,UNK,10,UNK,10,November 23,T,0,0,0,0
1924,9,Sun,UNK,0,UNK,23,November 23,A,0,0,0,0
1924,9,Sun,CHI,3,GB,0,November 23,H,0,0,0,0
1924,8,Thu,UNK,22,UNK,0,November 27,H,0,0,0,0
1924,8,Thu,UNK,32,UNK,7,November 27,H,0,0,0,0
1924,9,Thu,UNK,53,UNK,10,November 27,H,0,0,0,0
1924,10,Thu,UNK,0,CHI,21,November 27,A,0,0,0,0
1924,10,Thu,UNK,6,GB,17,November 27,A,0,0,0,0
1924,11,Sat,UNK,45,UNK,7,November 29,H,0,0,0,0
1924,11,Sun,UNK,7,GB,0,November 30,H,0,0,0,0
1924,11,Sun,CHI,31,UNK,14,November 30,H,0,0,0,0
