Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1977,1,Sun,ATL,17,UNK,6,September 18,H,264,167,0,3
1977,1,Sun,OAK,24,SD,0,September 18,H,317,121,1,3
1977,1,Sun,PHI,13,TB,3,September 18,H,281,118,5,1
1977,1,Sun,UNK,20,NYJ,0,September 18,H,239,179,0,2
1977,1,Sun,NYG,20,WAS,17,September 18,H,279,261,1,2
1977,1,Sun,NE,21,KC,17,September 18,H,381,335,4,2
1977,1,Sun,NO,20,GB,24,September 18,A,315,204,2,1
1977,1,Sun,MIN,10,DAL,16,September 18,A,294,297,5,1
1977,1,Sun,BUF,0,MIA,13,September 18,A,324,148,4,0
1977,1,Sun,CHI,30,DET,20,September 18,H,300,363,0,1
1977,1,Sun,CIN,3,CLE,13,September 18,A,245,285,3,3
1977,1,Sun,SEA,14,UNK,29,September 18,A,255,426,4,1
1977,1,Sun,DEN,7,UNK,0,September 18,H,258,273,4,1
1977,1,Mon,PIT,27,SF,0,September 19,H,308,101,1,3
1977,2,Sat,TB,3,MIN,9,September 24,A,138,315,3,3
1977,2,Sun,PIT,7,OAK,16,September 25,A,369,247,5,0
1977,2,Sun,KC,7,SD,23,September 25,A,149,287,3,3
1977,2,Sun,GB,10,UNK,16,September 25,A,279,227,4,0
1977,2,Sun,DET,23,NO,19,September 25,H,429,92,1,1
1977,2,Sun,DAL,41,NYG,21,September 25,H,444,161,1,5
1977,2,Sun,NYJ,12,UNK,20,September 25,A,212,214,2,1
1977,2,Sun,SF,15,MIA,19,September 25,A,280,361,1,0
1977,2,Sun,CIN,42,SEA,20,September 25,H,424,282,1,3
1977,2,Sun,UNK,16,CHI,13,September 25,H,348,285,4,2
1977,2,Sun,DEN,26,BUF,6,September 25,H,296,129,2,3
1977,2,Sun,WAS,10,ATL,6,September 25,H,252,341,3,0
1977,2,Sun,UNK,20,PHI,0,September 25,H,356,112,2,4
1977,2,Mon,CLE,30,NE,27,September 26,H,393,263,3,2
1977,3,Sun,MIA,27,UNK,7,October 2,H,397,205,3,3
1977,3,Sun,UNK,34,SF,14,October 2,H,245,231,0,2
1977,3,Sun,MIN,19,GB,7,October 2,H,325,208,0,0
1977,3,Sun,DET,17,PHI,13,October 2,H,235,330,1,3
1977,3,Sun,SEA,13,DEN,24,October 2,A,272,330,3,2
1977,3,Sun,DAL,23,TB,7,October 2,H,415,163,3,2
1977,3,Sun,WAS,24,UNK,14,October 2,H,361,329,1,3
1977,3,Sun,CLE,14,PIT,28,October 2,A,165,361,5,2
1977,3,Sun,SD,24,CIN,3,October 2,H,385,219,2,4
1977,3,Sun,CHI,24,NO,42,October 2,A,415,314,3,0
1977,3,Sun,UNK,17,BUF,14,October 2,H,309,302,1,5
1977,3,Sun,ATL,17,NYG,3,October 2,H,295,177,3,4
1977,3,Sun,NYJ,30,NE,27,October 2,H,251,356,3,5
1977,3,Mon,KC,28,OAK,37,October 3,A,322,539,0,4
1977,4,Sun,TB,0,WAS,10,October 9,A,136,239,5,3
1977,4,Sun,UNK,27,PIT,10,October 9,H,267,389,2,9
1977,4,Sun,NYG,10,PHI,28,October 9,A,259,326,4,4
1977,4,Sun,NE,31,SEA,0,October 9,H,333,145,3,5
1977,4,Sun,NO,0,SD,14,October 9,A,200,269,2,2
