Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1940,1,Sun,PIT,7,UNK,7,September 8,T,129,192,3,4
1940,1,Sun,WAS,24,UNK,17,September 15,H,369,276,2,3
1940,1,Sun,GB,27,PHI,20,September 15,H,266,218,1,4
1940,1,Sun,PIT,10,NYG,10,September 15,T,197,215,3,2
1940,2,Sun,UNK,0,DET,0,September 15,T,14,16,2,5
1940,1,Sun,GB,10,CHI,41,September 22,A,341,288,9,3
1940,2,Sun,DET,7,PIT,10,September 22,A,231,209,4,1
1940,2,Sun,WAS,21,NYG,7,September 22,H,173,285,2,5
1940,2,Sun,UNK,21,PHI,13,September 22,H,229,239,1,4
1940,2,Wed,UNK,21,CHI,7,September 25,H,256,256,2,3
1940,3,Sat,PHI,14,NYG,20,September 28,A,213,235,1,0
1940,2,Sun,PIT,3,UNK,10,September 29,A,188,315,3,2
1940,3,Sun,DET,6,UNK,0,September 29,H,226,146,5,8
1940,4,Sun,GB,31,UNK,6,September 29,H,332,224,3,6
1940,3,Fri,UNK,30,PHI,17,October 4,H,249,152,1,3
1940,5,Sat,DET,43,UNK,14,October 5,H,243,145,5,10
1940,3,Sun,UNK,14,CHI,21,October 6,A,233,240,3,4
1940,5,Sun,PIT,10,WAS,40,October 6,A,188,333,4,1
1940,4,Sun,CHI,7,DET,0,October 13,H,210,173,4,2
1940,4,Sun,UNK,21,PIT,0,October 13,H,240,213,2,3
1940,4,Sun,NYG,17,PHI,7,October 13,H,276,117,3,1
1940,4,Sun,GB,31,UNK,14,October 13,H,413,342,5,5
1940,6,Sun,WAS,28,UNK,21,October 13,H,440,209,5,2
1940,5,Sun,NYG,12,PIT,0,October 20,H,300,148,6,4
1940,5,Sun,CHI,16,UNK,7,October 20,H,417,261,2,1
1940,6,Sun,GB,14,DET,23,October 20,A,301,277,9,4
1940,6,Sun,PHI,17,WAS,34,October 20,A,276,380,4,4
1940,7,Sun,UNK,26,UNK,14,October 20,H,330,259,3,6
1940,6,Sat,PHI,7,UNK,21,October 26,A,257,221,2,1
1940,6,Sun,NYG,21,CHI,37,October 27,A,326,245,6,0
1940,6,Sun,GB,24,PIT,3,October 27,H,296,95,3,5
1940,7,Sun,DET,14,WAS,20,October 27,A,330,271,7,7
1940,8,Sun,UNK,17,UNK,7,October 27,H,223,147,4,4
1940,7,Sun,UNK,7,NYG,10,November 3,A,263,174,3,2
1940,7,Sun,CHI,14,GB,7,November 3,H,246,208,4,5
1940,8,Sun,UNK,24,DET,0,November 3,H,308,261,1,6
1940,9,Sun,WAS,37,PIT,10,November 3,H,371,289,0,1
1940,8,Sun,UNK,16,WAS,14,November 10,H,167,331,1,3
1940,8,Sun,PIT,7,PHI,3,November 10,H,171,129,2,1
1940,8,Sun,DET,17,CHI,14,November 10,H,253,299,1,3
1940,8,Sun,NYG,0,UNK,13,November 10,A,246,120,4,2
1940,9,Sun,UNK,7,GB,28,November 10,A,189,388,5,1
1940,9,Sun,WAS,7,CHI,3,November 17,H,169,297,2,3
1940,9,Sun,NYG,7,GB,3,November 17,H,120,227,1,4
1940,9,Sun,UNK,29,UNK,14,November 17,H,240,285,3,5
1940,10,Sun,PHI,0,DET,21,November 17,A,129,397,4,3
1940,10,Sun,CHI,47,UNK,25,November 24,H,429,282,2,4
1940,10,Sun,UNK,14,UNK,9,November 24,H,222,287,5,4
1940,10,Sun,NYG,21,WAS,7,November 24,H,221,194,0,6
1940,11,Sun,DET,7,GB,50,November 24,A,253,314,7,0
1940,10,Thu,PHI,7,PIT,0,November 28,H,120,130,1,6
1940,11,Sun,CHI,31,UNK,23,December 1,H,254,240,4,2
1940,11,Sun,NYG,6,UNK,14,December 1,A,163,340,2,3
1940,11,Sun,WAS,13,PHI,6,December 1,H,256,332,3,1
1940,11,Sun,UNK,13,GB,13,December 1,T,228,364,4,3
1940,ConfChamp,,WAS,0,CHI,73,December 8,A,231,519,9,1
