Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1971,1,Sun,ATL,20,SF,17,September 19,H,266,372,1,7
1971,1,Sun,NE,20,OAK,6,September 19,H,261,304,3,4
1971,1,Sun,NO,24,UNK,20,September 19,H,276,262,1,1
1971,1,Sun,SD,21,KC,14,September 19,H,356,231,1,2
1971,1,Sun,GB,40,NYG,42,September 19,A,348,323,5,1
1971,1,Sun,DEN,10,MIA,10,September 19,T,261,239,1,5
1971,1,Sun,UNK,17,WAS,24,September 19,A,255,213,7,1
1971,1,Sun,UNK,22,NYJ,0,September 19,H,319,118,1,0
1971,1,Sun,CLE,31,UNK,0,September 19,H,377,243,2,6
1971,1,Sun,CIN,37,PHI,14,September 19,H,532,315,1,4
1971,1,Sun,CHI,17,PIT,15,September 19,H,141,352,4,7
1971,1,Sun,BUF,37,DAL,49,September 19,A,401,371,4,1
1971,1,Mon,DET,13,MIN,16,September 20,A,221,275,2,4
1971,2,Sun,NE,7,DET,34,September 26,A,246,368,3,0
1971,2,Sun,UNK,16,KC,20,September 26,A,198,286,3,2
1971,2,Sun,NO,20,SF,38,September 26,A,263,319,2,2
1971,2,Sun,NYG,3,WAS,30,September 26,A,156,427,2,0
1971,2,Sun,SD,0,OAK,34,September 26,A,226,375,5,1
1971,2,Sun,GB,34,DEN,13,September 26,H,303,327,4,7
1971,2,Sun,PHI,7,DAL,42,September 26,A,170,369,8,4
1971,2,Sun,UNK,13,CLE,14,September 26,A,178,267,8,4
1971,2,Sun,PIT,21,CIN,10,September 26,H,288,253,3,1
1971,2,Sun,MIN,17,CHI,20,September 26,A,230,315,1,3
1971,2,Sun,BUF,14,MIA,29,September 26,A,267,376,3,0
1971,2,Sun,UNK,20,ATL,20,September 26,T,317,437,3,1
1971,2,Mon,UNK,17,NYJ,10,September 27,H,340,239,1,0
1971,3,Sun,DEN,3,KC,16,October 3,A,222,159,5,3
1971,3,Sun,MIA,10,NYJ,14,October 3,A,297,221,3,1
1971,3,Sun,UNK,13,NO,13,October 3,T,263,263,3,2
1971,3,Sun,PHI,3,SF,31,October 3,A,261,510,2,2
1971,3,Sun,PIT,21,SD,17,October 3,H,282,427,1,4
1971,3,Sun,DAL,16,WAS,20,October 3,A,267,285,1,3
1971,3,Sun,UNK,20,NYG,21,October 3,A,305,301,4,2
1971,3,Sun,NE,3,UNK,23,October 3,A,151,358,1,2
1971,3,Sun,GB,20,CIN,17,October 3,H,318,178,3,2
1971,3,Sun,UNK,17,CHI,3,October 3,H,422,113,4,4
1971,3,Sun,MIN,19,BUF,0,October 3,H,326,64,3,3
1971,3,Sun,DET,41,ATL,38,October 3,H,318,342,2,5
1971,3,Mon,CLE,20,OAK,34,October 4,A,334,328,3,2
1971,4,Sun,KC,31,SD,10,October 10,H,388,179,0,2
1971,4,Sun,PHI,0,MIN,13,October 10,A,172,195,4,1
1971,4,Sun,NE,20,NYJ,0,October 10,H,337,121,2,2
1971,4,Sun,WAS,22,UNK,13,October 10,H,251,192,2,5
1971,4,Sun,SF,13,UNK,20,October 10,A,272,201,4,2
1971,4,Sun,DET,31,GB,28,October 10,H,465,263,4,2
1971,4,Sun,DEN,16,OAK,27,October 10,A,319,269,3,1
1971,4,Sun,CLE,27,PIT,17,October 10,H,350,222,3,1
1971,4,Sun,CIN,13,MIA,23,October 10,A,330,312,1,1
1971,4,Sun,CHI,35,NO,14,October 10,H,427,263,3,4
1971,4,Sun,BUF,0,UNK,43,October 10,A,49,401,6,3
1971,4,Sun,ATL,9,UNK,26,October 10,A,213,263,6,0
1971,4,Mon,DAL,20,NYG,13,October 11,H,401,332,6,5
1971,5,Sun,DEN,20,SD,16,October 17,H,296,288,2,4
1971,5,Sun,UNK,7,DET,31,October 17,A,295,385,5,3
1971,5,Sun,GB,13,MIN,24,October 17,A,342,270,5,1
1971,5,Sun,MIA,41,NE,3,October 17,H,431,117,0,3
1971,5,Sun,OAK,34,PHI,10,October 17,H,412,226,2,3
1971,5,Sun,NO,24,DAL,14,October 17,H,157,300,2,6
1971,5,Sun,WAS,20,UNK,0,October 17,H,349,205,2,7
1971,5,Sun,ATL,16,UNK,24,October 17,A,249,306,4,4
1971,5,Sun,NYJ,28,BUF,17,October 17,H,331,271,0,2
1971,5,Sun,SF,13,CHI,0,October 17,H,354,220,5,6
1971,5,Sun,CIN,24,CLE,27,October 17,A,339,269,2,3
1971,5,Sun,NYG,7,UNK,31,October 17,A,251,363,5,0
1971,5,Mon,KC,38,PIT,16,October 18,H,348,322,2,4
1971,6,Sat,SD,20,BUF,3,October 23,H,446,189,5,2
1971,6,Sun,UNK,30,GB,13,October 24,H,331,237,1,4
1971,6,Sun,KC,27,WAS,20,October 24,H,325,304,2,2
1971,6,Sun,NYJ,14,MIA,30,October 24,A,233,361,1,0
1971,6,Sun,PHI,23,NYG,7,October 24,H,212,236,1,5
1971,6,Sun,PIT,23,UNK,16,October 24,H,419,272,5,2
1971,6,Sun,DAL,44,NE,21,October 24,H,406,259,0,3
1971,6,Sun,UNK,14,SF,26,October 24,A,284,366,3,0
1971,6,Sun,CLE,0,DEN,27,October 24,A,60,365,4,0
1971,6,Sun,OAK,31,CIN,27,October 24,H,316,250,2,1
1971,6,Sun,DET,23,CHI,28,October 24,A,261,323,2,0
1971,6,Sun,ATL,28,NO,6,October 24,H,364,202,1,2
1971,6,Mon,MIN,10,UNK,3,October 25,H,153,276,1,3
1971,7,Sun,OAK,20,KC,20,October 31,T,252,248,2,2
1971,7,Sun,UNK,14,MIA,20,October 31,A,359,312,2,0
1971,7,Sun,NYG,10,MIN,17,October 31,A,252,278,1,2
1971,7,Sun,WAS,24,NO,14,October 31,H,377,212,6,1
1971,7,Sun,SF,27,NE,10,October 31,H,247,246,5,3
1971,7,Sun,SD,49,NYJ,21,October 31,H,523,263,2,4
1971,7,Sun,PHI,17,DEN,16,October 31,H,123,272,1,5
1971,7,Sun,UNK,34,PIT,21,October 31,H,383,181,2,2
1971,7,Sun,UNK,10,CIN,6,October 31,H,177,83,5,1
1971,7,Sun,CHI,23,DAL,19,October 31,H,194,481,2,7
1971,7,Sun,BUF,23,UNK,28,October 31,A,309,305,3,0
1971,7,Sun,CLE,14,ATL,31,October 31,A,153,317,4,0
1971,7,Mon,GB,14,DET,14,November 1,T,218,291,1,4
1971,8,Sun,WAS,7,PHI,7,November 7,T,197,172,7,1
1971,8,Sun,NYG,35,SD,17,November 7,H,417,319,1,3
1971,8,Sun,NE,28,UNK,20,November 7,H,253,331,0,3
1971,8,Sun,NO,21,OAK,21,November 7,T,373,240,3,2
1971,8,Sun,MIN,9,SF,13,November 7,A,167,222,1,5
1971,8,Sun,NYJ,13,KC,10,November 7,H,145,190,0,3
1971,8,Sun,DEN,20,DET,24,November 7,A,360,418,2,2
1971,8,Sun,UNK,13,DAL,16,November 7,A,228,372,1,0
1971,8,Sun,CIN,6,ATL,9,November 7,A,167,267,2,1
1971,8,Sun,MIA,34,BUF,0,November 7,H,391,364,0,5
1971,8,Sun,CHI,14,GB,17,November 7,A,280,304,4,2
1971,8,Sun,PIT,26,CLE,9,November 7,H,393,210,1,3
1971,8,Mon,UNK,24,UNK,17,November 8,H,249,262,2,2
1971,9,Sun,MIA,24,PIT,21,November 14,H,309,288,4,4
1971,9,Sun,MIN,3,GB,0,November 14,H,87,301,1,4
1971,9,Sun,DET,13,UNK,21,November 14,A,317,311,1,1
1971,9,Sun,DAL,20,PHI,7,November 14,H,308,286,1,5
1971,9,Sun,OAK,41,UNK,21,November 14,H,245,189,4,6
1971,9,Sun,NYJ,13,UNK,14,November 14,A,188,189,3,3
1971,9,Sun,KC,13,CLE,7,November 14,H,384,292,2,3
1971,9,Sun,DEN,10,CIN,24,November 14,A,221,473,1,1
1971,9,Sun,CHI,16,WAS,15,November 14,H,385,283,1,0
1971,9,Sun,NE,38,BUF,33,November 14,H,299,217,3,1
1971,9,Sun,ATL,17,NYG,21,November 14,A,219,324,2,3
1971,9,Sun,SF,20,NO,26,November 14,A,333,338,4,1
1971,9,Mon,SD,20,UNK,17,November 15,H,389,346,3,3
1971,10,Sun,OAK,34,SD,33,November 21,H,360,408,1,2
1971,10,Sun,PIT,17,NYG,13,November 21,H,175,419,0,3
1971,10,Sun,NO,10,MIN,23,November 21,A,258,267,2,2
1971,10,Sun,KC,28,DEN,10,November 21,H,387,319,3,3
1971,10,Sun,WAS,0,DAL,13,November 21,A,232,279,2,1
1971,10,Sun,UNK,20,PHI,37,November 21,A,333,267,8,2
