Year,Week,Day,Home,Home Score,Away,Away Score,Date,Result,Home Yards,Away Yards,Home Turnovers,Away Turnovers
1946,1,Fri,PIT,14,UNK,7,September 20,H,137,186,2,4
1946,1,Sun,GB,7,CHI,30,September 29,A,114,432,4,2
1946,1,Sun,UNK,14,PHI,25,September 29,A,233,316,4,2
1946,2,Sun,WAS,14,PIT,14,September 29,T,324,231,2,1
1946,2,Mon,UNK,34,DET,14,September 30,H,343,156,4,7
1946,1,Tue,UNK,0,NYG,17,October 1,A,139,271,3,2
1946,2,Sun,WAS,17,DET,16,October 6,H,329,159,5,5
1946,2,Sun,GB,17,UNK,21,October 6,A,405,262,3,4
1946,2,Sun,UNK,17,CHI,34,October 6,A,351,358,4,2
1946,2,Sun,PIT,14,NYG,17,October 6,A,369,249,6,1
1946,2,Sun,PHI,49,UNK,25,October 6,H,405,341,2,4
1946,3,Sun,WAS,24,NYG,14,October 13,H,367,211,4,5
1946,3,Sun,PHI,7,GB,19,October 13,A,254,134,6,1
1946,3,Sun,CHI,28,UNK,28,October 13,T,312,396,2,4
1946,3,Sun,PIT,16,UNK,7,October 13,H,317,223,3,3
1946,4,Sun,DET,14,UNK,36,October 13,A,158,394,3,4
1946,4,Sun,CHI,21,PHI,14,October 20,H,297,199,3,6
1946,4,Sun,UNK,35,DET,14,October 20,H,434,111,5,3
1946,4,Sun,GB,17,PIT,7,October 20,H,382,213,2,2
1946,4,Sun,UNK,6,WAS,14,October 20,A,133,256,3,2
1946,5,Sun,NYG,28,UNK,24,October 20,H,328,303,6,4
1946,5,Sun,UNK,7,PIT,33,October 27,A,190,281,5,1
1946,5,Sun,GB,10,DET,7,October 27,H,158,158,2,6
1946,5,Sun,NYG,14,CHI,0,October 27,H,150,342,5,7
1946,5,Sun,WAS,24,PHI,28,October 27,A,127,262,4,5
1946,6,Sun,UNK,34,UNK,10,October 27,H,359,336,3,6
1946,6,Sun,PHI,24,NYG,14,November 3,H,197,251,2,5
1946,6,Sun,DET,20,UNK,41,November 3,A,293,331,5,2
1946,6,Sun,CHI,10,GB,7,November 3,H,159,125,3,2
1946,6,Sun,UNK,14,UNK,28,November 3,A,276,393,4,1
1946,7,Sun,PIT,14,WAS,7,November 3,H,108,277,2,5
1946,7,Sun,DET,17,PIT,7,November 10,H,293,202,1,0
1946,7,Sun,NYG,45,PHI,17,November 10,H,341,273,4,5
1946,7,Sun,WAS,17,UNK,14,November 10,H,318,215,1,1
1946,7,Sun,UNK,21,CHI,27,November 10,A,314,390,4,3
1946,8,Sun,UNK,7,GB,19,November 10,A,237,270,10,4
1946,8,Sun,NYG,28,UNK,28,November 17,T,293,197,3,1
1946,8,Sun,DET,0,GB,9,November 17,A,81,319,2,1
1946,8,Sun,PIT,10,PHI,7,November 17,H,122,190,3,5
1946,8,Sun,CHI,24,WAS,20,November 17,H,266,237,3,6
1946,9,Sun,UNK,17,UNK,14,November 17,H,304,268,2,5
1946,9,Sun,PHI,10,WAS,27,November 24,A,271,345,5,2
1946,9,Sun,NYG,7,PIT,0,November 24,H,154,139,2,3
1946,9,Sun,CHI,42,DET,6,November 24,H,362,205,1,6
1946,9,Sun,UNK,40,UNK,21,November 24,H,404,382,2,5
1946,10,Sun,GB,6,UNK,24,November 24,A,155,349,4,6
1946,10,Thu,DET,10,UNK,34,November 28,A,266,424,3,2
1946,10,Sun,CHI,28,UNK,35,December 1,A,374,297,5,4
1946,10,Sun,PHI,10,PIT,7,December 1,H,225,158,1,5
1946,10,Sun,NYG,21,UNK,31,December 1,A,394,453,6,5
1946,10,Sun,WAS,7,GB,20,December 1,A,197,317,8,2
1946,11,Sun,UNK,14,PHI,40,December 8,A,134,312,9,8
1946,11,Sun,NYG,31,WAS,0,December 8,H,272,333,2,5
1946,11,Sun,DET,24,CHI,45,December 8,A,266,377,4,3
1946,11,Sun,UNK,38,GB,17,December 8,H,318,227,3,4
1946,ConfChamp,,NYG,14,CHI,24,December 15,A,248,245,8,3
